id,mr_id,material_id,qty_requested,qty_ordered,unit,unit_price_est,notes,created_at
50f228f0-fd3e-4c23-8e25-287fa7e596bd,9504077f-8b4c-4d06-a1f9-35e29ec0487a,ca912336-50a2-49c4-ae84-2e2d3910e420,80.000,80.000,sak,65000.00,,2026-06-23T21:54:28.993Z
4635f74b-fc3e-47a5-ace4-e0bd8329b2f4,9504077f-8b4c-4d06-a1f9-35e29ec0487a,752e3d93-faf4-4b9a-9d0b-f8ad600b9a07,200.000,200.000,batang,85000.00,,2026-06-23T21:54:28.993Z
5f52ef78-dec1-4362-9e46-3698228a3b4c,9504077f-8b4c-4d06-a1f9-35e29ec0487a,c5b96cab-2e6c-44a5-b711-4a3e7e274128,150.000,150.000,batang,120000.00,,2026-06-23T21:54:28.993Z
35eacc64-9031-49a6-ac6b-a14661db43de,386c5453-ac43-49bc-9d7d-54fa55bb5c8e,e20e2464-0edb-47bc-a6a5-b0ee38550394,15.000,0.000,m³,185000.00,,2026-06-23T21:54:29.291Z
399a4410-1db7-454c-b8d1-046dcb3d372f,386c5453-ac43-49bc-9d7d-54fa55bb5c8e,889c9252-9f1a-4c45-9921-afd0409a395b,10.000,0.000,m³,250000.00,,2026-06-23T21:54:29.291Z
8f80380b-b160-458c-bf31-a23693d757f1,386c5453-ac43-49bc-9d7d-54fa55bb5c8e,ca912336-50a2-49c4-ae84-2e2d3910e420,120.000,0.000,sak,65000.00,,2026-06-23T21:54:29.291Z
3d2d6966-f97e-4630-9fbc-f1569026d430,58af8ec0-10d4-4f4b-a878-f4d2f32193ac,dbf062e7-8758-4bbd-a590-6aa850fbb5a6,85.000,85.000,m²,115000.00,,2026-06-23T21:54:29.363Z
d72f6861-dfc2-4036-b4d3-e6cbf1834613,58af8ec0-10d4-4f4b-a878-f4d2f32193ac,7819e6bd-8a25-4e30-a8cc-1003ab5e46b4,30.000,0.000,m²,85000.00,,2026-06-23T21:54:29.363Z
44908cc8-c07a-4bfb-aec5-1855a6518590,87fcc6e6-2135-45b3-bfd0-5461e3fe73f6,6ff5eff9-26b9-4029-841a-64ae0f1ba6cb,12.000,0.000,batang,55000.00,,2026-06-23T21:54:29.746Z
390e94c8-0b9e-47c3-b65c-56e0d8ed82c1,87fcc6e6-2135-45b3-bfd0-5461e3fe73f6,88276f6b-4bde-49ba-a90c-48ac1d64a8cd,20.000,0.000,batang,22000.00,,2026-06-23T21:54:29.746Z
a14a4d75-825f-47d0-86df-68edc29b5279,de3b7b12-c16d-44af-bdd6-b6d407c00846,4dc9cfd3-5a6f-4a2f-885c-2e9636483d32,20.000,0.000,kaleng,185000.00,,2026-06-23T21:55:37.701Z
95b39c87-990c-479a-8daa-038e28ff9619,de3b7b12-c16d-44af-bdd6-b6d407c00846,7819e6bd-8a25-4e30-a8cc-1003ab5e46b4,25.000,0.000,m²,85000.00,,2026-06-23T21:55:37.701Z
6173d34d-a66d-404a-a725-2c868a4466d5,de3b7b12-c16d-44af-bdd6-b6d407c00846,88276f6b-4bde-49ba-a90c-48ac1d64a8cd,15.000,0.000,batang,22000.00,,2026-06-23T21:55:37.701Z
5b783379-e976-4439-bfb1-5a57b5a57e62,de3b7b12-c16d-44af-bdd6-b6d407c00846,9c4cf3a5-b771-4f52-98d2-bbc6af869dd9,6.000,0.000,kaleng,95000.00,,2026-06-23T21:55:37.701Z
