id,work_scope_id,amount,fund_source,purpose,kasbon_date,notes,status,requested_by,approved_by,approved_at,settled_at,created_at,updated_at,cash_account_id,photo_url,project_id,company_id
190312ee-b460-4719-87f8-8c4108aab249,ab010000-0000-0000-0000-000000000001,5000000.00,owner_advance,gaji_tukang,2026-02-19T17:00:00.000Z,Uang muka gaji tukang minggu galian,approved,a0000000-0000-0000-0000-000000000004,a0000000-0000-0000-0000-000000000001,2026-02-20T10:00:00.000Z,,2026-06-16T15:30:12.015Z,2026-08-01T06:04:27.526Z,ca510000-0000-0000-0000-000000000003,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
c2307982-b298-4f5a-9b92-028a740ebdd0,ab010000-0000-0000-0000-000000000001,4000000.00,owner_advance,uang_makan,2026-03-19T17:00:00.000Z,Operasional harian tukang,approved,a0000000-0000-0000-0000-000000000004,a0000000-0000-0000-0000-000000000001,2026-03-20T10:00:00.000Z,,2026-06-16T15:30:12.114Z,2026-08-01T06:04:27.526Z,ca510000-0000-0000-0000-000000000003,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
0fec8d57-5964-42eb-837c-98201f389343,ab010000-0000-0000-0000-000000000002,3500000.00,owner_advance,gaji_tukang,2026-04-24T17:00:00.000Z,Kasbon awal pekerjaan finishing,approved,a0000000-0000-0000-0000-000000000004,a0000000-0000-0000-0000-000000000001,2026-04-25T10:00:00.000Z,,2026-06-16T15:30:12.163Z,2026-08-01T06:04:27.526Z,ca510000-0000-0000-0000-000000000003,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
c8dcb18a-1d02-454f-a918-871f21a0f745,ab010000-0000-0000-0000-000000000002,2500000.00,owner_advance,operasional,2026-05-19T17:00:00.000Z,Biaya operasional bulan Mei,approved,a0000000-0000-0000-0000-000000000004,a0000000-0000-0000-0000-000000000001,2026-05-20T10:00:00.000Z,,2026-06-16T15:30:12.213Z,2026-08-01T06:04:27.526Z,ca510000-0000-0000-0000-000000000003,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
446ac986-2e23-410f-a37a-e77250800242,ab010000-0000-0000-0000-000000000002,2000000.00,owner_advance,gaji_tukang,2026-06-09T17:00:00.000Z,Kasbon gaji tukang minggu ini,pending,a0000000-0000-0000-0000-000000000004,,,,2026-06-16T15:30:12.254Z,2026-08-01T06:04:27.526Z,,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
ae7d0c12-1c6a-455d-94bd-6cfa59c59c29,ab010000-0000-0000-0000-000000000003,2000000.00,owner_advance,pembelian_alat,2026-03-09T17:00:00.000Z,Beli fitting dan pipa tambahan,approved,a0000000-0000-0000-0000-000000000005,a0000000-0000-0000-0000-000000000001,2026-03-10T10:00:00.000Z,,2026-06-16T15:30:12.312Z,2026-08-01T06:04:27.526Z,ca510000-0000-0000-0000-000000000003,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
4c0421d1-d36e-4fb1-93bb-6bceabd42c8d,ab010000-0000-0000-0000-000000000003,1500000.00,owner_advance,operasional,2026-04-14T17:00:00.000Z,Operasional plumbing bulan April,approved,a0000000-0000-0000-0000-000000000005,a0000000-0000-0000-0000-000000000001,2026-04-15T10:00:00.000Z,,2026-06-16T15:30:12.359Z,2026-08-01T06:04:27.526Z,ca510000-0000-0000-0000-000000000003,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
f2648648-42b9-419a-8584-c63c755ca1df,ab010000-0000-0000-0000-000000000004,1800000.00,owner_advance,pembelian_alat,2026-04-09T17:00:00.000Z,Beli kabel dan conduit,approved,a0000000-0000-0000-0000-000000000005,a0000000-0000-0000-0000-000000000001,2026-04-10T10:00:00.000Z,,2026-06-16T15:30:12.409Z,2026-08-01T06:04:27.526Z,ca510000-0000-0000-0000-000000000003,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
61195d31-e278-4b23-9f6c-c60993ca8ce3,ab010000-0000-0000-0000-000000000001,5000000.00,owner_advance,gaji_tukang,2026-02-19T17:00:00.000Z,Uang muka gaji tukang minggu galian,approved,a0000000-0000-0000-0000-000000000004,a0000000-0000-0000-0000-000000000001,2026-02-20T10:00:00.000Z,,2026-06-16T15:31:03.221Z,2026-07-28T18:24:56.802Z,ca510000-0000-0000-0000-000000000001,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
77ade1cb-5aa8-4433-beee-1ff63ece7e86,ab010000-0000-0000-0000-000000000001,3000000.00,owner_advance,pembelian_alat,2026-03-04T17:00:00.000Z,Beli bekisting dan perancah tambahan,approved,a0000000-0000-0000-0000-000000000004,a0000000-0000-0000-0000-000000000001,2026-03-05T10:00:00.000Z,,2026-06-16T15:31:03.270Z,2026-07-28T18:24:56.802Z,ca510000-0000-0000-0000-000000000001,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
009a2b1f-07d6-458f-bbae-ae7e8f12a5aa,ab010000-0000-0000-0000-000000000001,4000000.00,owner_advance,uang_makan,2026-03-19T17:00:00.000Z,Operasional harian tukang,approved,a0000000-0000-0000-0000-000000000004,a0000000-0000-0000-0000-000000000001,2026-03-20T10:00:00.000Z,,2026-06-16T15:31:03.324Z,2026-07-28T18:24:56.802Z,ca510000-0000-0000-0000-000000000001,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
8e927fab-38eb-4a70-a3e0-4cfa0f8e71de,ab010000-0000-0000-0000-000000000002,3500000.00,owner_advance,gaji_tukang,2026-04-24T17:00:00.000Z,Kasbon awal pekerjaan finishing,approved,a0000000-0000-0000-0000-000000000004,a0000000-0000-0000-0000-000000000001,2026-04-25T10:00:00.000Z,,2026-06-16T15:31:03.380Z,2026-07-28T18:24:56.802Z,ca510000-0000-0000-0000-000000000001,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
7874cf10-2300-46bd-ad57-57652681b56d,ab010000-0000-0000-0000-000000000002,2500000.00,owner_advance,operasional,2026-05-19T17:00:00.000Z,Biaya operasional bulan Mei,approved,a0000000-0000-0000-0000-000000000004,a0000000-0000-0000-0000-000000000001,2026-05-20T10:00:00.000Z,,2026-06-16T15:31:03.427Z,2026-07-28T18:24:56.802Z,ca510000-0000-0000-0000-000000000001,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
e510943b-d300-4c90-a45d-fc3699892291,ab010000-0000-0000-0000-000000000003,2000000.00,owner_advance,pembelian_alat,2026-03-09T17:00:00.000Z,Beli fitting dan pipa tambahan,approved,a0000000-0000-0000-0000-000000000005,a0000000-0000-0000-0000-000000000001,2026-03-10T10:00:00.000Z,,2026-06-16T15:31:03.513Z,2026-07-28T18:24:56.802Z,ca510000-0000-0000-0000-000000000001,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
085494ec-b4c3-492b-a633-5a43fb9ce04b,ab010000-0000-0000-0000-000000000003,1500000.00,owner_advance,operasional,2026-04-14T17:00:00.000Z,Operasional plumbing bulan April,approved,a0000000-0000-0000-0000-000000000005,a0000000-0000-0000-0000-000000000001,2026-04-15T10:00:00.000Z,,2026-06-16T15:31:03.558Z,2026-07-28T18:24:56.802Z,ca510000-0000-0000-0000-000000000001,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
0ff375d0-84f9-4696-a4f9-dc651b57f678,ab010000-0000-0000-0000-000000000004,1800000.00,owner_advance,pembelian_alat,2026-04-09T17:00:00.000Z,Beli kabel dan conduit,approved,a0000000-0000-0000-0000-000000000005,a0000000-0000-0000-0000-000000000001,2026-04-10T10:00:00.000Z,,2026-06-16T15:31:03.608Z,2026-07-28T18:24:56.802Z,ca510000-0000-0000-0000-000000000001,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
8f7144a7-787c-4739-874f-3bbc516cde61,,1000000.00,owner_advance,uang_makan,2026-06-14T17:00:00.000Z,Kasbon umum — uang makan tim,pending,a0000000-0000-0000-0000-000000000005,,,,2026-06-16T15:31:03.652Z,2026-07-28T18:24:56.802Z,,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
3202cb60-a223-4e4b-81c3-56cb02af7dce,ab010000-0000-0000-0000-000000000002,2000000.00,owner_advance,gaji_tukang,2026-06-09T17:00:00.000Z,Kasbon gaji tukang minggu ini,pending,a0000000-0000-0000-0000-000000000004,,,,2026-06-16T15:31:03.470Z,2026-07-28T18:24:56.802Z,,,c0000000-0000-0000-0000-000000000001,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
cb020000-0000-0000-0000-000000000001,ab020000-0000-0000-0000-000000000001,25000000.00,client_fund,gaji_tukang,2026-03-31T17:00:00.000Z,Kasbon upah tukang struktur April,approved,a0000000-0000-0000-0000-000000000004,a0000000-0000-0000-0000-000000000001,2026-04-01T02:00:00.000Z,,2026-06-13T16:41:44.391Z,2026-07-28T18:24:56.802Z,,,c0000000-0000-0000-0000-000000000002,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
cb030000-0000-0000-0000-000000000002,ab030000-0000-0000-0000-000000000001,5000000.00,owner_advance,pembelian_alat,2026-04-19T17:00:00.000Z,Beli keramik tambahan dapur,approved,a0000000-0000-0000-0000-000000000005,a0000000-0000-0000-0000-000000000001,2026-04-20T02:00:00.000Z,,2026-06-13T16:41:44.391Z,2026-07-28T18:24:56.802Z,,,c0000000-0000-0000-0000-000000000003,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
cb030000-0000-0000-0000-000000000001,ab030000-0000-0000-0000-000000000001,18000000.00,client_fund,gaji_tukang,2026-04-04T17:00:00.000Z,Kasbon upah tukang dapur April,approved,a0000000-0000-0000-0000-000000000005,a0000000-0000-0000-0000-000000000001,2026-04-05T02:00:00.000Z,,2026-06-13T16:41:44.391Z,2026-07-28T18:24:56.802Z,,,c0000000-0000-0000-0000-000000000003,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
cb030000-0000-0000-0000-000000000003,ab030000-0000-0000-0000-000000000002,12000000.00,client_fund,gaji_tukang,2026-04-04T17:00:00.000Z,Kasbon upah tukang KM April,approved,a0000000-0000-0000-0000-000000000005,a0000000-0000-0000-0000-000000000001,2026-04-05T02:00:00.000Z,,2026-06-13T16:41:44.391Z,2026-07-28T18:24:56.802Z,,,c0000000-0000-0000-0000-000000000003,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
