id,assignment_id,scope_id,week_start,week_end,status,subtotal,total_deduction,net_amount,notes,submitted_at,reviewed_by,reviewed_at,review_notes,paid_at,created_at,updated_at,cash_account_id,payment_method
dc010000-0000-0000-0000-000000000001,fa010000-0000-0000-0000-000000000002,ab010000-0000-0000-0000-000000000003,2026-03-01T17:00:00.000Z,2026-03-06T17:00:00.000Z,paid,0.00,0.00,0.00,Upah plumbing minggu 1 Maret,,a0000000-0000-0000-0000-000000000001,,,2026-03-08T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-14T04:09:04.691Z,,
dc010000-0000-0000-0000-000000000007,fa010000-0000-0000-0000-000000000002,ab010000-0000-0000-0000-000000000003,2026-04-19T17:00:00.000Z,2026-04-24T17:00:00.000Z,submitted,4200000.00,0.00,4200000.00,Upah plumbing minggu 3 April belum dibayar,,,,,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,
dc050000-0000-0000-0000-000000000002,fa050000-0000-0000-0000-000000000001,ab050000-0000-0000-0000-000000000002,2026-06-07T17:00:00.000Z,2026-06-12T17:00:00.000Z,submitted,3000000.00,0.00,3000000.00,Upah taman minggu 2 Juni,,,,,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,
12ce5896-cdb3-492d-8a16-a7fca968b7bd,fa050000-0000-0000-0000-000000000001,ab050000-0000-0000-0000-000000000001,2026-06-13T17:00:00.000Z,2026-06-19T17:00:00.000Z,submitted,1750000.00,200000.00,1550000.00,,2026-06-14T19:23:25.964Z,,,,,2026-06-14T19:23:26.387Z,2026-06-14T19:23:26.624Z,,
dc010000-0000-0000-0000-000000000002,fa010000-0000-0000-0000-000000000002,ab010000-0000-0000-0000-000000000003,2026-03-08T17:00:00.000Z,2026-03-13T17:00:00.000Z,paid,4200000.00,0.00,4200000.00,Upah plumbing minggu 2 Maret,,a0000000-0000-0000-0000-000000000001,,,2026-03-15T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,
dc010000-0000-0000-0000-000000000003,fa010000-0000-0000-0000-000000000002,ab010000-0000-0000-0000-000000000003,2026-03-15T17:00:00.000Z,2026-03-20T17:00:00.000Z,paid,4200000.00,0.00,4200000.00,Upah plumbing minggu 3 Maret,,a0000000-0000-0000-0000-000000000001,,,2026-03-22T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,
dc010000-0000-0000-0000-000000000004,fa010000-0000-0000-0000-000000000002,ab010000-0000-0000-0000-000000000003,2026-03-22T17:00:00.000Z,2026-03-27T17:00:00.000Z,paid,4200000.00,0.00,4200000.00,Upah plumbing minggu 4 Maret,,a0000000-0000-0000-0000-000000000001,,,2026-03-29T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,
dc010000-0000-0000-0000-000000000005,fa010000-0000-0000-0000-000000000002,ab010000-0000-0000-0000-000000000003,2026-04-05T17:00:00.000Z,2026-04-10T17:00:00.000Z,paid,4200000.00,0.00,4200000.00,Upah plumbing minggu 1 April,,a0000000-0000-0000-0000-000000000001,,,2026-04-12T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,
dc010000-0000-0000-0000-000000000006,fa010000-0000-0000-0000-000000000002,ab010000-0000-0000-0000-000000000003,2026-04-12T17:00:00.000Z,2026-04-17T17:00:00.000Z,paid,4200000.00,0.00,4200000.00,Upah plumbing minggu 2 April,,a0000000-0000-0000-0000-000000000001,,,2026-04-19T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,
dc010000-0000-0000-0000-000000000008,fa010000-0000-0000-0000-000000000002,ab010000-0000-0000-0000-000000000004,2026-04-05T17:00:00.000Z,2026-04-10T17:00:00.000Z,paid,3600000.00,0.00,3600000.00,Upah elektrikal minggu 1 April,,a0000000-0000-0000-0000-000000000001,,,2026-04-12T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,
