id,project_id,progress_log_id,url,thumbnail_url,caption,taken_at,file_size_kb,uploaded_by,uploaded_at,created_at,category
862474b4-1bb2-4cb6-980f-e337a594d378,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1504307651254-35680f356dfd?w=800,,Pekerjaan bongkaran selesai — lokasi bersih,2026-02-09T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:26:52.167Z,2026-06-16T15:26:52.167Z,progress
6a37b421-25a7-4829-ac77-aa9292cca311,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1590876498907-4c0e2e3f7889?w=800,,Bored pile dan galian pondasi,2026-02-25T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:26:52.217Z,2026-06-16T15:26:52.217Z,progress
a5147ef1-0f4c-432d-8d14-a9243f834809,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,,Milestone: Pondasi & sloof selesai dicor,2026-03-05T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:26:52.260Z,2026-06-16T15:26:52.260Z,progress
c6a4c39d-d97e-49b3-b259-f00a4254a336,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=800,,"Kolom Lt. 1 & 2 berdiri, persiapan balok",2026-03-25T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:26:52.302Z,2026-06-16T15:26:52.302Z,progress
d42816f3-fccd-436c-add2-2a39b9b7e625,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1565008447742-97f6f38c985c?w=800,,Milestone: Struktur beton 4 lantai hampir selesai,2026-04-18T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:26:52.346Z,2026-06-16T15:26:52.346Z,progress
c4275101-72ea-4c73-9528-1c21e301837e,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1503387837-b154d5074bd2?w=800,,"Rangka atap baja terpasang, genteng UPVC mulai",2026-04-30T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:26:52.387Z,2026-06-16T15:26:52.387Z,progress
57cd8acb-6d19-43ae-85e5-72ed81776ed7,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1622396476260-e93f4e9e7f5a?w=800,,"Pasangan dinding bata Lt. 1 selesai, plester mulai",2026-05-15T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:26:52.435Z,2026-06-16T15:26:52.435Z,progress
00c10838-8de4-4df8-ac24-ee0968ce74f8,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1558618047-3c8c76ca7d2b?w=800,,Defect: Retak rambut pada kolom Lt.1 — sudah diperbaiki,2026-03-18T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:26:52.477Z,2026-06-16T15:26:52.477Z,defect
dae27f29-1f00-40d0-9049-fe4b0d7b8b18,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1601101274929-eb8e3b13bb29?w=800,,Defect: Plat Lt.2 honeycombing kecil — grouting,2026-04-22T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:26:52.521Z,2026-06-16T15:26:52.521Z,defect
46e85be6-7042-4e0a-974a-32f156ba052c,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1600880292203-757bb62b4baf?w=800,,Instalasi MEP berjalan — conduit dan kabel terpasang,2026-05-30T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:26:52.571Z,2026-06-16T15:26:52.571Z,progress
3185d360-6b88-4cc4-8ae0-5d5d380f2e45,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1487958449943-2429e8be8625?w=800,,Progress terkini — keramik lantai utama mulai dipasang,2026-06-10T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:26:52.618Z,2026-06-16T15:26:52.618Z,progress
5a41a028-1b8c-43d9-8c28-59edc953c9cf,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=800,,Kusen aluminium terpasang di lantai 1,2026-06-14T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:26:52.662Z,2026-06-16T15:26:52.662Z,progress
c160aa67-08b4-4ef3-871c-0d72f71a9538,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1504307651254-35680f356dfd?w=800,,Pekerjaan bongkaran selesai — lokasi bersih,2026-02-09T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:30:13.535Z,2026-06-16T15:30:13.535Z,progress
c100cf9a-bb7c-4329-83c0-fc1c42456045,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1590876498907-4c0e2e3f7889?w=800,,Bored pile dan galian pondasi,2026-02-25T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:30:13.580Z,2026-06-16T15:30:13.580Z,progress
97150eb3-89dc-4af1-beaf-2b861087fb7c,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,,Milestone: Pondasi & sloof selesai dicor,2026-03-05T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:30:13.630Z,2026-06-16T15:30:13.630Z,progress
6accd1ba-0a18-4d86-94c6-3973dd0ae7fd,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=800,,"Kolom Lt. 1 & 2 berdiri, persiapan balok",2026-03-25T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:30:13.673Z,2026-06-16T15:30:13.673Z,progress
c4102fcc-aaa1-46b0-bc97-bea84214f1d0,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1565008447742-97f6f38c985c?w=800,,Milestone: Struktur beton 4 lantai hampir selesai,2026-04-18T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:30:13.719Z,2026-06-16T15:30:13.719Z,progress
3a8e2edf-af56-4750-ac0b-3fcc6c843b0b,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1503387837-b154d5074bd2?w=800,,"Rangka atap baja terpasang, genteng UPVC mulai",2026-04-30T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:30:13.765Z,2026-06-16T15:30:13.765Z,progress
780bdcd1-68ed-4ecb-bffa-3d446090d1b9,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1622396476260-e93f4e9e7f5a?w=800,,"Pasangan dinding bata Lt. 1 selesai, plester mulai",2026-05-15T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:30:13.817Z,2026-06-16T15:30:13.817Z,progress
3adca364-d12d-45c9-bad8-33a9366a8a9b,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1558618047-3c8c76ca7d2b?w=800,,Defect: Retak rambut pada kolom Lt.1 — sudah diperbaiki,2026-03-18T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:30:13.866Z,2026-06-16T15:30:13.866Z,defect
f15d2a68-739e-4217-aabd-14653870b041,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1601101274929-eb8e3b13bb29?w=800,,Defect: Plat Lt.2 honeycombing kecil — grouting,2026-04-22T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:30:13.911Z,2026-06-16T15:30:13.911Z,defect
2f3587a9-44e0-4522-8665-9468e4ab5845,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1600880292203-757bb62b4baf?w=800,,Instalasi MEP berjalan — conduit dan kabel terpasang,2026-05-30T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:30:13.957Z,2026-06-16T15:30:13.957Z,progress
5f3f58ed-53af-42e0-b842-644f6b34bf68,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1487958449943-2429e8be8625?w=800,,Progress terkini — keramik lantai utama mulai dipasang,2026-06-10T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:30:13.999Z,2026-06-16T15:30:13.999Z,progress
e71bd3ea-81bd-4621-a05f-8d97c207c17f,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=800,,Kusen aluminium terpasang di lantai 1,2026-06-14T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:30:14.044Z,2026-06-16T15:30:14.044Z,progress
be867a97-5d82-4d6a-8588-1c7d3af526fe,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1504307651254-35680f356dfd?w=800,,Pekerjaan bongkaran selesai — lokasi bersih,2026-02-09T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:31:04.723Z,2026-06-16T15:31:04.723Z,progress
2d3db28f-822f-4819-958c-e70d937b1c06,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1590876498907-4c0e2e3f7889?w=800,,Bored pile dan galian pondasi,2026-02-25T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:31:04.764Z,2026-06-16T15:31:04.764Z,progress
c40393dc-41ae-47cf-b2d8-4a5ccd1e50ff,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,,Milestone: Pondasi & sloof selesai dicor,2026-03-05T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:31:04.811Z,2026-06-16T15:31:04.811Z,progress
9846772f-2286-40f0-9fa5-a368e3f516ca,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=800,,"Kolom Lt. 1 & 2 berdiri, persiapan balok",2026-03-25T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:31:04.859Z,2026-06-16T15:31:04.859Z,progress
1aa9ea48-0687-4b0c-a05a-fa275c26ebb7,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1565008447742-97f6f38c985c?w=800,,Milestone: Struktur beton 4 lantai hampir selesai,2026-04-18T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:31:04.904Z,2026-06-16T15:31:04.904Z,progress
c5ec1a91-c4bb-4287-a532-b79258c83ccb,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1503387837-b154d5074bd2?w=800,,"Rangka atap baja terpasang, genteng UPVC mulai",2026-04-30T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:31:04.947Z,2026-06-16T15:31:04.947Z,progress
e8030a73-cd2a-4b54-8a63-a139cac20021,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1622396476260-e93f4e9e7f5a?w=800,,"Pasangan dinding bata Lt. 1 selesai, plester mulai",2026-05-15T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:31:04.992Z,2026-06-16T15:31:04.992Z,progress
ec130c8d-43b1-4997-af8c-58bc9adab00f,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1558618047-3c8c76ca7d2b?w=800,,Defect: Retak rambut pada kolom Lt.1 — sudah diperbaiki,2026-03-18T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:31:05.039Z,2026-06-16T15:31:05.039Z,defect
6cf96c18-77f3-49c7-9f0c-613a2ace5a50,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1601101274929-eb8e3b13bb29?w=800,,Defect: Plat Lt.2 honeycombing kecil — grouting,2026-04-22T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:31:05.087Z,2026-06-16T15:31:05.087Z,defect
0d8aa430-4bd6-4d59-b007-d9c14cfa3d5c,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1487958449943-2429e8be8625?w=800,,Progress terkini — keramik lantai utama mulai dipasang,2026-06-10T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:31:05.184Z,2026-06-16T15:31:05.184Z,progress
24838b06-0f67-4699-bada-cda8f815dc0c,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=800,,Kusen aluminium terpasang di lantai 1,2026-06-14T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:31:05.236Z,2026-06-16T15:31:05.236Z,progress
d7227f3d-18d9-4bfa-a5c1-5643195ccd5d,c0000000-0000-0000-0000-000000000001,,https://images.unsplash.com/photo-1600880292203-757bb62b4baf?w=800,,Instalasi MEP berjalan — conduit dan kabel terpasang,2026-05-30T00:00:00.000Z,,a0000000-0000-0000-0000-000000000002,2026-06-16T15:31:05.137Z,2026-06-16T15:31:05.137Z,defect
