id,invoice_id,tax_type,tax_scheme,base_amount,rate_pct,tax_amount,efaktur_number,period_month,status,notes,created_at,updated_at
7c100000-0000-0000-0000-000000000002,e1000000-0000-0000-0000-000000000002,pph_final_42,pph_final,71250000.00,2.00,1425000.00,,2026-02-28T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7c300000-0000-0000-0000-000000000001,e3000000-0000-0000-0000-000000000001,pph_final_42,pph_final,28500000.00,2.00,570000.00,,2026-03-31T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7c300000-0000-0000-0000-000000000002,e3000000-0000-0000-0000-000000000002,pph_final_42,pph_final,23750000.00,2.00,475000.00,,2026-04-30T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7c400000-0000-0000-0000-000000000001,e4000000-0000-0000-0000-000000000001,pph_final_42,pph_final,14400000.00,2.00,288000.00,,2025-12-31T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7c400000-0000-0000-0000-000000000002,e4000000-0000-0000-0000-000000000002,pph_final_42,pph_final,19200000.00,2.00,384000.00,,2026-01-31T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7c400000-0000-0000-0000-000000000003,e4000000-0000-0000-0000-000000000003,pph_final_42,pph_final,14400000.00,2.00,288000.00,,2026-02-28T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7c600000-0000-0000-0000-000000000001,e6000000-0000-0000-0000-000000000001,pph_final_42,pph_final,195000000.00,2.00,3900000.00,,2025-12-31T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7c800000-0000-0000-0000-000000000001,e8000000-0000-0000-0000-000000000001,pph_final_42,pph_final,255000000.00,2.00,5100000.00,,2026-03-31T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7c900000-0000-0000-0000-000000000001,e9000000-0000-0000-0000-000000000001,pph_final_42,pph_final,126000000.00,2.00,2520000.00,,2025-09-30T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7c900000-0000-0000-0000-000000000002,e9000000-0000-0000-0000-000000000002,pph_final_42,pph_final,105000000.00,2.00,2100000.00,,2025-11-30T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7ca10000-0000-0000-0000-000000000001,e0110000-0000-0000-0000-000000000001,pph_final_42,pph_final,114000000.00,2.00,2280000.00,,2026-01-31T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7ca10000-0000-0000-0000-000000000002,e0110000-0000-0000-0000-000000000002,pph_final_42,pph_final,95000000.00,2.00,1900000.00,,2026-03-31T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7ca30000-0000-0000-0000-000000000001,e0130000-0000-0000-0000-000000000001,pph_final_42,pph_final,18000000.00,2.00,360000.00,,2026-02-28T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7ca30000-0000-0000-0000-000000000002,e0130000-0000-0000-0000-000000000002,pph_final_42,pph_final,24000000.00,2.00,480000.00,,2026-03-31T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7ca40000-0000-0000-0000-000000000001,e0140000-0000-0000-0000-000000000001,pph_final_42,pph_final,43500000.00,2.00,870000.00,,2025-11-30T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7ca40000-0000-0000-0000-000000000002,e0140000-0000-0000-0000-000000000002,pph_final_42,pph_final,43500000.00,2.00,870000.00,,2026-01-31T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7ca40000-0000-0000-0000-000000000003,e0140000-0000-0000-0000-000000000003,pph_final_42,pph_final,43500000.00,2.00,870000.00,,2026-03-31T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z
7c100000-0000-0000-0000-000000000001,e1000000-0000-0000-0000-000000000001,pph_final_42,pph_final,85500000.00,2.00,1710000.00,,2026-01-31T17:00:00.000Z,reported,,2026-06-13T16:41:44.391Z,2026-07-22T21:42:08.506Z
