id,invoice_id,amount_paid,payment_method,paid_at,ref_number,bank_name,notes,recorded_by,created_at,proof_url,cash_account_id
8b100000-0000-0000-0000-000000000001,e1000000-0000-0000-0000-000000000001,87210000.00,transfer_bank,2026-02-05T17:00:00.000Z,TRF202602060001,BCA,DP Pak Andi Buah Batu,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8b100000-0000-0000-0000-000000000002,e1000000-0000-0000-0000-000000000002,72675000.00,transfer_bank,2026-03-19T17:00:00.000Z,TRF202603200001,BCA,Termin 1 Pak Andi Buah Batu,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8b300000-0000-0000-0000-000000000001,e3000000-0000-0000-0000-000000000001,29070000.00,transfer_bank,2026-04-04T17:00:00.000Z,TRF202604050001,Mandiri,DP Pak Hendra Cihampelas,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8b300000-0000-0000-0000-000000000002,e3000000-0000-0000-0000-000000000002,24225000.00,transfer_bank,2026-05-05T17:00:00.000Z,TRF202605060001,Mandiri,Termin 1 Pak Hendra Cihampelas,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8b400000-0000-0000-0000-000000000001,e4000000-0000-0000-0000-000000000001,14688000.00,transfer_bank,2026-01-14T17:00:00.000Z,TRF202601150001,BNI,DP Carport Bu Melati,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8b400000-0000-0000-0000-000000000002,e4000000-0000-0000-0000-000000000002,19584000.00,transfer_bank,2026-02-13T17:00:00.000Z,TRF202602140001,BNI,Termin 1 Carport Bu Melati,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8b400000-0000-0000-0000-000000000003,e4000000-0000-0000-0000-000000000003,14688000.00,transfer_bank,2026-03-14T17:00:00.000Z,TRF202603150001,BNI,Pelunasan Carport Bu Melati,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8b600000-0000-0000-0000-000000000001,e6000000-0000-0000-0000-000000000001,198900000.00,transfer_bank,2026-01-19T17:00:00.000Z,TRF202601200001,BCA,DP Bu Ratna Antapani,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8b800000-0000-0000-0000-000000000001,e8000000-0000-0000-0000-000000000001,260100000.00,transfer_bank,2026-04-06T17:00:00.000Z,TRF202604070001,BRI,DP Villa Pak Dodi Lembang,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8b900000-0000-0000-0000-000000000001,e9000000-0000-0000-0000-000000000001,128520000.00,transfer_bank,2025-10-05T17:00:00.000Z,TRF202510060001,BCA,DP Ruko Pak Eko Pasteur,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8b900000-0000-0000-0000-000000000002,e9000000-0000-0000-0000-000000000002,107100000.00,transfer_bank,2025-12-19T17:00:00.000Z,TRF202512200001,BCA,Termin 1 Ruko Pak Eko,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
8ba10000-0000-0000-0000-000000000001,e0110000-0000-0000-0000-000000000001,116280000.00,transfer_bank,2026-02-19T17:00:00.000Z,TRF202602200001,Mandiri,DP Gudang Gedebage,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,,
