id,key,label,href,icon,parent_id,required_permissions,sort_order,section,is_active,created_at,updated_at
4a78fb0c-ffa2-486e-b386-ee8db4c79183,keuangan-invoice,Invoice & Bayar,/keuangan,Receipt,5c72ddd7-59eb-4109-8c34-cecef7e55783,"[""finance:view""]",10,main,true,2026-07-23T04:41:19.139Z,2026-07-23T04:41:19.139Z
cf8d38f1-4034-4e0c-af5c-288b3cc16759,keuangan-kas,Kas & Pengeluaran,/kas,PiggyBank,5c72ddd7-59eb-4109-8c34-cecef7e55783,"[""cash:view""]",20,main,true,2026-07-23T04:41:19.139Z,2026-07-23T04:41:19.139Z
35884ca6-9706-43b1-af5f-9cbb3e0410e4,pengaturan-profil,Profil Perusahaan,/pengaturan,Building2,fb8bccbe-b15e-467d-85fe-26aa21573c60,"[""users:roles:manage""]",10,bottom,true,2026-07-23T04:41:19.139Z,2026-07-23T04:41:19.139Z
dd803f5f-2890-4a0e-b972-5ab6c9839b2c,pengaturan-roles,Role & Akses,/pengaturan/roles,ShieldCheck,fb8bccbe-b15e-467d-85fe-26aa21573c60,"[""users:roles:manage""]",20,bottom,true,2026-07-23T04:41:19.139Z,2026-07-23T04:41:19.139Z
5cd7deee-f886-4d1e-b0be-14dfdc4c1731,pengaturan-keuangan,Konfigurasi Keuangan,/pengaturan/keuangan,Landmark,fb8bccbe-b15e-467d-85fe-26aa21573c60,"[""settings:finance:manage""]",15,bottom,true,2026-07-23T20:40:45.821Z,2026-07-23T20:40:45.821Z
ea76379a-5ddf-44e3-b068-02036f382c2f,pengaturan-satuan,Kelola Satuan,/pengaturan/satuan,Ruler,fb8bccbe-b15e-467d-85fe-26aa21573c60,"[""units:manage""]",17,bottom,true,2026-07-23T21:45:27.593Z,2026-07-23T21:45:27.593Z
53e687b1-3481-4ca4-8a64-0c0ef5da2e5c,pengaturan-kategori,Kategori Pekerjaan,/pengaturan/kategori-pekerjaan,Layers,fb8bccbe-b15e-467d-85fe-26aa21573c60,"[""work_categories:manage""]",18,bottom,true,2026-07-24T03:35:07.606Z,2026-07-24T03:35:07.606Z
f1f794e6-a0a8-475b-8872-ed10749c1ecf,pengaturan-kasbon-purposes,Tujuan Kasbon,/pengaturan/kasbon-purposes,Coins,fb8bccbe-b15e-467d-85fe-26aa21573c60,"[""kasbon_purposes:manage""]",19,bottom,true,2026-07-24T04:42:28.149Z,2026-07-24T04:42:28.149Z
0e5f2b1a-9656-49ce-99af-97f2a9be125b,pengaturan-approval,Rantai Approval,/pengaturan/approval,GitBranch,fb8bccbe-b15e-467d-85fe-26aa21573c60,"[""approval:chains:manage""]",20,bottom,true,2026-07-24T11:55:44.939Z,2026-07-24T11:55:44.939Z
e373a6ff-c20a-4e29-bfc8-f874fa1d744c,pengaturan-notifikasi,Aturan Notifikasi,/pengaturan/notifikasi,BellRing,fb8bccbe-b15e-467d-85fe-26aa21573c60,"[""notifications:rules:manage""]",21,bottom,true,2026-07-24T13:25:24.448Z,2026-07-24T13:25:24.448Z
72cfae5a-8cd6-430a-a63b-d7ab826d429d,keuangan-piutang,Piutang,/piutang,Coins,5c72ddd7-59eb-4109-8c34-cecef7e55783,"[""finance:view:all""]",15,main,true,2026-07-28T16:26:57.113Z,2026-07-28T16:26:57.113Z
8a2326bb-6b46-460e-8874-d057d2e3f26a,pengaturan-perusahaan,Badan Usaha,/pengaturan/perusahaan,Building2,fb8bccbe-b15e-467d-85fe-26aa21573c60,"[""settings:manage""]",11,bottom,true,2026-07-29T10:43:46.550Z,2026-07-29T10:43:46.550Z
d1a4cb5a-d150-4cae-b2bc-78c20af92bb9,dashboard,Dashboard,/dashboard,LayoutDashboard,,"[]",10,main,false,2026-07-23T04:41:19.139Z,2026-08-01T06:56:21.587Z
b1489c97-42fe-4056-b10a-d2d4104d703e,proyek,Proyek,/proyek,FolderKanban,,"[""projects:view""]",20,main,false,2026-07-23T04:41:19.139Z,2026-08-01T06:56:21.587Z
1021fe2e-850c-4e04-b415-20fddf900c59,klien,Klien,/klien,Contact,,"[""clients:view""]",30,main,false,2026-07-23T04:41:19.139Z,2026-08-01T06:56:21.587Z
5c72ddd7-59eb-4109-8c34-cecef7e55783,keuangan,Keuangan,,Wallet,,"[""finance:view"",""cash:view""]",40,main,false,2026-07-23T04:41:19.139Z,2026-08-01T06:56:21.587Z
7846f308-7a75-45cb-b562-4f98ece9164e,procurement,Pengadaan,/procurement,ShoppingCart,,"[""procurement:view""]",50,main,false,2026-07-23T04:41:19.139Z,2026-08-01T06:56:21.587Z
18452808-c56b-44ad-8493-7fa1ea52bfbd,mandor,Mandor,/mandor,HardHat,,"[""mandor:view""]",60,main,false,2026-07-23T04:41:19.139Z,2026-08-01T06:56:21.587Z
e8100ced-7e29-4f1e-808c-eba711aab07c,laporan,Laporan,/laporan,BarChart3,,"[""reports:view""]",70,main,false,2026-07-23T04:41:19.139Z,2026-08-01T06:56:21.587Z
489eb4cf-73ae-4d03-a4bf-7339a1d36227,kalender,Kalender,/kalender,CalendarDays,,"[""projects:view"",""mandor:view""]",80,main,false,2026-07-23T04:41:19.139Z,2026-08-01T06:56:21.587Z
fe56daba-2784-49e4-a668-f7fea7dc486a,users,User,/users,Users,,"[""users:manage""]",90,main,false,2026-07-23T04:41:19.139Z,2026-08-01T06:56:21.587Z
8a4717f4-d5c9-45df-93c6-944afaee0112,audit,Audit Trail,/audit,ShieldCheck,,"[""users:manage""]",100,main,false,2026-07-23T04:41:19.139Z,2026-08-01T06:56:21.587Z
fb8bccbe-b15e-467d-85fe-26aa21573c60,pengaturan,Pengaturan,/pengaturan,Settings,,"[]",10,bottom,false,2026-07-23T04:41:19.139Z,2026-08-01T06:56:21.587Z
c3a8a325-2814-4e7d-abd2-314aa714f260,estimasi,Estimasi,/estimasi,Calculator,,"[""cecep:estimate:view""]",25,main,false,2026-07-26T19:16:03.939Z,2026-08-01T06:56:21.587Z
33a3460c-ecd3-406b-8780-18b4b88d18ad,tender,Register Tender,/tender,Gavel,,"[""projects:view""]",26,main,false,2026-07-31T17:19:30.656Z,2026-08-01T06:56:21.587Z
06e1f2e5-79a8-43fb-98d4-89816c00f914,aset,Aset & Alat,/aset,Truck,,"[""assets:view""]",55,main,false,2026-08-01T04:31:43.581Z,2026-08-01T06:56:21.587Z
9f14e19d-98eb-4414-9b13-846ca70b95d4,g-master,Master Data,,Database,,"[]",100,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
34e4a4c7-3b02-4b6d-b0d8-835eea86cc14,g-crm,Pra-Konstruksi,,Gavel,,"[]",200,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
6cf26008-1508-499a-ae38-8b02a7517483,g-kontrak,Kontrak,,FileSignature,,"[]",300,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
178c7f63-2d81-4a90-b03f-80de97e7f2d0,g-jadwal,Perencanaan,,CalendarRange,,"[]",400,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
9a762cb6-376e-442f-9c76-a0adcbd36574,g-cost,Budget & Cost Control,,Calculator,,"[]",500,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
fddac7cf-676a-4b37-9f6b-11c51efb0a22,g-procurement,Pengadaan,,ShoppingCart,,"[]",600,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
535ad283-9800-427a-af97-2e31637d119e,g-inventory,Gudang & Material,,Package,,"[]",700,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
c64b33e6-1012-4ab3-8afe-077b91da49f2,g-subkon,Mandor & Subkon,,HardHat,,"[]",800,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
8bda0bcc-71fa-454a-82b0-919ce950a500,g-lapangan,Operasi Lapangan,,ClipboardList,,"[]",900,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
8de9a212-de80-4b42-a1d1-4678f8325390,g-qaqc,Mutu (QA/QC),,BadgeCheck,,"[]",1000,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
fba558e9-34b2-4688-9436-ff7a862b9e0d,g-hse,K3 & Lingkungan,,ShieldAlert,,"[]",1100,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
b6d6c701-8ad7-4628-a264-8fe6bcc7e208,g-hr,SDM & Payroll,,Users,,"[]",1200,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
e0b52da9-6b11-4fa1-a01d-fa8fdb855545,g-aset,Alat & Aset,,Truck,,"[]",1300,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
735149e6-5610-4a2a-91cd-9e07d7cca135,g-keuangan,Keuangan,,Landmark,,"[]",1400,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
3812e911-c371-4b5b-babb-6acb01f87ed0,g-tagih,Penagihan,,Receipt,,"[]",1500,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
4a33f704-411b-432f-9add-ed1931857a18,g-dokumen,Dokumen,,FolderOpen,,"[]",1600,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
c0f03d12-a5ae-4ad7-8397-d422cc6b7329,g-risiko,Risiko & Kepatuhan,,AlertTriangle,,"[]",1700,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
d152e81c-b39a-42ac-a16c-45af6949f737,g-laporan,Laporan & BI,,BarChart3,,"[]",1800,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
bf142412-7bdb-4a35-b4f7-bb32c660e603,g-sistem,Administrasi,,Settings,,"[]",1900,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
5018722a-bc6e-4da3-9542-07cab9d608a3,g-mobile,Aplikasi Lapangan,,Smartphone,,"[]",2000,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
3f81f52b-a0a5-4f02-874d-21a22e1ce4f1,md-perusahaan,Badan Usaha,/pengaturan/perusahaan,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",101,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
21e8b42f-d2ad-4e02-a4cf-70b3feafcb4e,md-coa,Chart of Accounts,/m/md-coa,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",102,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
e0ae8357-52f9-49ef-88d0-baa3b2776793,md-cost-code,Cost Code / CBS,/estimasi,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",103,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
d3a1cc14-3d29-4b5c-bb27-a05b75903de6,md-wbs-template,Template WBS,/m/md-wbs-template,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",104,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
34e84823-d1f6-41a3-ba15-925c330616a6,md-resource,Master Resource,/estimasi,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",105,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
a9f027eb-cbcd-42ef-92e8-29d5558a56eb,md-price-book,Price Book,/estimasi,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",106,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
8bd0e638-73aa-4a0b-aa4e-5ec055d0f0f6,md-satuan,Satuan,/pengaturan/satuan,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",107,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
cd6be100-ecf5-43ab-ac73-24505873678a,md-supplier,Supplier,/procurement,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",108,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
508085c2-4a9e-4f3c-a9cd-71b43da08e59,md-prakualifikasi,Prakualifikasi Vendor,/m/md-prakualifikasi,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",109,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
498180e8-616f-4d67-a04f-bcf65aab9d95,md-subkon,Subkontraktor,/mandor,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",110,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
6c8e7db0-1c5c-459a-93ae-b07766a4d14f,md-klien,Klien,/klien,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",111,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
3663caf8-25c8-405e-baa4-f8c32ded7c5d,md-karyawan,Karyawan,/users,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",112,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
6658e028-7e31-4c69-99e0-e5b6b54b724c,md-aset,Aset & Alat,/aset,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",113,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
830da24c-dbd0-4143-99e1-958afbe5560f,md-gudang,Gudang & Lokasi,/procurement,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",114,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
c650f982-5a93-4568-8fe1-3cfa7c883e6a,md-pajak,Konfigurasi Pajak,/pengaturan/keuangan,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",115,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
84b87822-3c53-497c-864b-72696f18c26a,md-kalender,Kalender Kerja,/m/md-kalender,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",116,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
ff97d53e-85e0-4408-a122-a3ddc4668704,md-penomoran,Penomoran Dokumen,/m/md-penomoran,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",117,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
2104a727-6930-41d9-b65c-230d27d2fdd4,md-template-dok,Template Dokumen,/m/md-template-dok,Dot,9f14e19d-98eb-4414-9b13-846ca70b95d4,"[]",118,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
084f079f-438d-4489-b351-7aaf09042dd4,crm-lead,Pipeline Lead,/tender,Dot,34e4a4c7-3b02-4b6d-b0d8-835eea86cc14,"[]",201,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
b1c269b6-e267-462f-8929-5c3e9577a9b9,crm-tender,Register Tender,/tender,Dot,34e4a4c7-3b02-4b6d-b0d8-835eea86cc14,"[]",202,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
884623c7-3310-45cf-8874-12f673b14a7b,crm-gonogo,Keputusan Go / No-Go,/tender,Dot,34e4a4c7-3b02-4b6d-b0d8-835eea86cc14,"[]",203,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
69fad52d-afda-4ad9-a6f9-b67952c79939,crm-prakualifikasi,Dokumen Prakualifikasi,/m/crm-prakualifikasi,Dot,34e4a4c7-3b02-4b6d-b0d8-835eea86cc14,"[]",204,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
395d058c-639e-4b58-8a8c-4403c9f9ec21,crm-estimating,Estimating / AHSP,/estimasi,Dot,34e4a4c7-3b02-4b6d-b0d8-835eea86cc14,"[]",205,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
6785a01c-73c6-466e-8b46-b856c054b6e8,crm-boq,Quantity Takeoff / BOQ,/estimasi,Dot,34e4a4c7-3b02-4b6d-b0d8-835eea86cc14,"[]",206,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
138ae10c-1dc0-43cf-be60-d72899452e0a,crm-skenario,Skenario Penawaran,/m/crm-skenario,Dot,34e4a4c7-3b02-4b6d-b0d8-835eea86cc14,"[]",207,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
b8868d83-43d6-45a9-b738-60ace69713cd,crm-markup,Markup & Margin,/m/crm-markup,Dot,34e4a4c7-3b02-4b6d-b0d8-835eea86cc14,"[]",208,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
51bd3cbb-c51a-44bb-8b7d-a244030fcb00,crm-eskalasi,Eskalasi Harga,/m/crm-eskalasi,Dot,34e4a4c7-3b02-4b6d-b0d8-835eea86cc14,"[]",209,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
76b0d8fb-e158-42de-b421-cdcb7f6f976f,crm-proposal,Dokumen Penawaran,/m/crm-proposal,Dot,34e4a4c7-3b02-4b6d-b0d8-835eea86cc14,"[]",210,main,true,2026-08-01T06:56:21.587Z,2026-08-01T06:56:21.587Z
