id,key,label,is_enabled,min_plan_tier,sort_order,created_at,updated_at,company_id
f2cd6c16-1a65-4c80-ba5c-2ca1c4f42324,projects,Proyek,true,,10,2026-07-23T04:47:51.190Z,2026-07-23T04:47:51.190Z,
2cf5b7fc-46b8-43c0-bada-65f86f36972b,clients,Klien,true,,20,2026-07-23T04:47:51.190Z,2026-07-23T04:47:51.190Z,
de3455aa-e3b2-4337-86e6-a9174d53f008,finance,Keuangan (Invoice),true,,30,2026-07-23T04:47:51.190Z,2026-07-23T04:47:51.190Z,
361278d5-3bf0-4ae0-8590-1df89dfd0030,cash,Kas & Pengeluaran,true,,40,2026-07-23T04:47:51.190Z,2026-07-23T04:47:51.190Z,
9a7ee4d8-94cc-4844-9175-4dca3afe4e51,procurement,Pengadaan,true,,50,2026-07-23T04:47:51.190Z,2026-07-23T04:47:51.190Z,
8e854e00-2b09-41bf-882c-e473272c0799,mandor,Mandor,true,,60,2026-07-23T04:47:51.190Z,2026-07-23T04:47:51.190Z,
befc0e7b-5801-4122-adb9-b792df623a9e,reports,Laporan,true,,70,2026-07-23T04:47:51.190Z,2026-07-23T04:47:51.190Z,
3f7714f0-2af5-46ca-9c68-e7df7bb95e83,calendar,Kalender,true,,80,2026-07-23T04:47:51.190Z,2026-07-23T04:47:51.190Z,
45d40497-2ed1-4ecf-b116-e36f9476fa26,documents,Dokumen & Foto,true,,90,2026-07-23T04:47:51.190Z,2026-07-23T04:47:51.190Z,
37972a42-52f3-448a-b8cd-f99a192b389e,change_orders,Change Order,true,,100,2026-07-23T04:47:51.190Z,2026-07-23T04:47:51.190Z,
f2f2862e-ff9b-4230-ba91-938dc0c8d681,notifications,Notifikasi,true,,110,2026-07-23T04:47:51.190Z,2026-07-23T04:47:51.190Z,
4b7f97ad-017a-48ad-9177-2bb60a2d3213,audit,Audit Trail,true,,120,2026-07-23T04:47:51.190Z,2026-07-23T04:47:51.190Z,
99138b25-7331-4f46-a0f6-e5fd24cb2832,users,Manajemen User,true,,130,2026-07-23T04:47:51.190Z,2026-07-23T04:47:51.190Z,
22f5bde2-bdf6-49ab-bb93-beaa7fe8c10e,settings,Pengaturan,true,,140,2026-07-23T04:47:51.190Z,2026-07-23T04:47:51.190Z,
