id,company_id,code,name,type,parent_id,is_active,description,created_at,created_by,updated_at
34ce73d1-78ab-479e-afdd-a533d5cc8721,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,1000,Aset,asset,,true,,2026-08-02T14:04:31.265Z,,2026-08-02T14:04:31.265Z
d4cb33db-b4fc-4cbd-8dde-25df49923eb4,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,2000,Liabilitas,liability,,true,,2026-08-02T14:04:31.265Z,,2026-08-02T14:04:31.265Z
eb01a36c-6675-4a39-8edf-1a7720d9c39d,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,3000,Ekuitas,equity,,true,,2026-08-02T14:04:31.265Z,,2026-08-02T14:04:31.265Z
cb2f9724-fa67-4487-b5f4-7430808dad63,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,4000,Pendapatan,revenue,,true,,2026-08-02T14:04:31.265Z,,2026-08-02T14:04:31.265Z
c3fb9ccb-b5ea-4cdb-9f1b-4bf72c729d53,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,5000,Beban Langsung,expense,,true,,2026-08-02T14:04:31.265Z,,2026-08-02T14:04:31.265Z
879b40a9-6d80-46db-b6c2-89c94c18c203,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,5900,Overhead,expense,,true,,2026-08-02T14:04:31.265Z,,2026-08-02T14:04:31.265Z
4ab943a8-c27e-40fa-9d61-e0353212fe3b,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,1100,Aset Lancar,asset,34ce73d1-78ab-479e-afdd-a533d5cc8721,true,,2026-08-02T14:04:31.265Z,,2026-08-02T14:04:31.265Z
5ed59708-b609-4de0-bbb2-074d4e66a77a,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,1110,Kas & Bank,asset,4ab943a8-c27e-40fa-9d61-e0353212fe3b,true,,2026-08-02T14:04:31.265Z,,2026-08-02T14:04:31.265Z
85525286-34c2-42e8-9984-7a80afa03c55,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,1112,Kas Proyek,asset,5ed59708-b609-4de0-bbb2-074d4e66a77a,true,,2026-08-02T14:04:31.265Z,,2026-08-02T14:04:31.265Z
f568f9f8-1756-4c21-a313-92ac0d5b70bf,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,1113,Bank,asset,5ed59708-b609-4de0-bbb2-074d4e66a77a,true,,2026-08-02T14:04:31.265Z,,2026-08-02T14:04:31.265Z
fcc44bd6-54f4-43c6-98e3-620106c44d19,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,1120,Piutang & Uang Muka,asset,4ab943a8-c27e-40fa-9d61-e0353212fe3b,true,,2026-08-02T14:04:31.265Z,,2026-08-02T14:04:31.265Z
dcce129a-88c3-4bbf-bc3d-409c84b5fe40,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,1121,Piutang Usaha,asset,fcc44bd6-54f4-43c6-98e3-620106c44d19,true,,2026-08-02T14:04:31.265Z,,2026-08-02T14:04:31.265Z
e3c6f56f-80b4-40ab-92a9-e6ad557c39e9,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,1123,Uang Muka Supplier,asset,fcc44bd6-54f4-43c6-98e3-620106c44d19,true,,2026-08-02T14:04:31.265Z,,2026-08-02T14:04:31.265Z
8f45da27-c22e-420e-a187-7305aa5299fe,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,1124,Retensi Belum Ditagih,asset,fcc44bd6-54f4-43c6-98e3-620106c44d19,true,,2026-08-02T14:04:31.265Z,,2026-08-02T14:04:31.265Z
62647c28-0bc1-4e65-ad7a-098c0045db48,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,1310,Persediaan Material,asset,4ab943a8-c27e-40fa-9d61-e0353212fe3b,true,,2026-08-02T14:04:31.265Z,,2026-08-02T14:04:31.265Z
