id,category_id,code,name,unit,unit_price,description,is_active,created_by,created_at,updated_at,min_stock,company_id
ca912336-50a2-49c4-ae84-2e2d3910e420,b4412b20-e9d1-4ea5-aa92-7327d8b5c62c,MAT-001,Semen Portland 50kg,sak,65000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
0f84fc97-3940-4d90-af7f-647251103de5,b4412b20-e9d1-4ea5-aa92-7327d8b5c62c,MAT-002,Beton Siap Pakai K-250,m³,1050000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
7add28da-240b-4604-8f88-eb92b33aa597,b4412b20-e9d1-4ea5-aa92-7327d8b5c62c,MAT-003,Mortar Instan 40kg,sak,80000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
752e3d93-faf4-4b9a-9d0b-f8ad600b9a07,42a68034-3d43-400a-ad6f-5b572f497de7,MAT-010,Besi Beton Ø10mm SNI,batang,85000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
c5b96cab-2e6c-44a5-b711-4a3e7e274128,42a68034-3d43-400a-ad6f-5b572f497de7,MAT-011,Besi Beton Ø12mm SNI,batang,120000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
5cb9e5c3-9523-4ba4-ac17-eb1714330178,42a68034-3d43-400a-ad6f-5b572f497de7,MAT-012,Besi Hollow 40×40×2mm,batang,95000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
831e2544-d39c-431c-ac48-a36d7233cae8,42a68034-3d43-400a-ad6f-5b572f497de7,MAT-013,Wire Mesh M6 2.1×5.4m,lembar,275000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
e20e2464-0edb-47bc-a6a5-b0ee38550394,07c0254f-4105-4b9c-aa66-efb26f3d4e08,MAT-020,Pasir Pasang,m³,185000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
2bf3d281-73b9-4fe6-a564-d996e99391c5,07c0254f-4105-4b9c-aa66-efb26f3d4e08,MAT-021,Pasir Cor,m³,210000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
889c9252-9f1a-4c45-9921-afd0409a395b,07c0254f-4105-4b9c-aa66-efb26f3d4e08,MAT-022,Batu Split 2/3,m³,250000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
a1707271-e4ba-4874-82a0-6a85ae4aacb5,a6b23c02-ad6c-44c6-82b1-da18322a142d,MAT-030,Bata Merah,buah,800.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
05e21439-89c2-4d22-a480-e875a0f6a5b3,a6b23c02-ad6c-44c6-82b1-da18322a142d,MAT-031,Batako Pres,buah,2500.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
234df6d5-b86e-42fd-bb25-8a7a50a6e0a3,a6b23c02-ad6c-44c6-82b1-da18322a142d,MAT-032,Hebel AAC 10cm,buah,9500.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
7db97ab6-da97-4747-a257-595105a92faa,2425ae27-4b4b-45f7-a981-c0bffceb2a85,MAT-040,Multiplek 9mm,lembar,165000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
714b84d8-ac25-40f3-9df9-e79c719e75c4,2425ae27-4b4b-45f7-a981-c0bffceb2a85,MAT-041,Multiplek 18mm,lembar,310000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
dc554fbd-f6a8-43a1-9ddf-fb7d338ac273,2425ae27-4b4b-45f7-a981-c0bffceb2a85,MAT-042,Kayu Bekisting 5/7,m³,4200000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
dbf062e7-8758-4bbd-a590-6aa850fbb5a6,358569ef-805a-4ac9-955f-ce96924a1f8f,MAT-050,Keramik Lantai 60×60cm Polos,m²,115000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
7819e6bd-8a25-4e30-a8cc-1003ab5e46b4,358569ef-805a-4ac9-955f-ce96924a1f8f,MAT-051,Keramik Dinding 25×40cm,m²,85000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
e901d345-cdc1-45c9-86a1-d2b38dca16c2,358569ef-805a-4ac9-955f-ce96924a1f8f,MAT-052,Granit 60×60cm Premium,m²,240000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
4dc9cfd3-5a6f-4a2f-885c-2e9636483d32,9a597633-15c4-40c7-ac0e-15783ba0b0c8,MAT-060,Cat Tembok Dulux 5L,kaleng,185000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
9c4cf3a5-b771-4f52-98d2-bbc6af869dd9,9a597633-15c4-40c7-ac0e-15783ba0b0c8,MAT-061,Waterproofing Aquaproof 4kg,kaleng,95000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
6ff5eff9-26b9-4029-841a-64ae0f1ba6cb,413fe843-c78b-498e-b090-d18fb81d957e,MAT-070,"Pipa PVC 4"" AW",batang,55000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
88276f6b-4bde-49ba-a90c-48ac1d64a8cd,413fe843-c78b-498e-b090-d18fb81d957e,MAT-071,"Pipa PVC 3/4"" AW",batang,22000.00,,true,a0000000-0000-0000-0000-000000000001,2026-06-23T21:54:28.863Z,2026-06-23T21:54:28.863Z,0.000,
