id,code,name,description,cost_code_id,source,reference_standard,version_number,waste_factor,sequence,status,activated_at,created_at,created_by,updated_at,updated_by,output_unit_code,edition_id,is_import_baseline,edited_from,edit_type,edit_reason,derived_from_assembly_id,derived_from_edition_id,created_in_estimate_id,company_id
bc2f8b35-6a71-4985-b579-19ad5db9b119,ASM-SMOKE,Smoke,,c383dd94-afcf-4959-9418-743efb8f95e8,company,,1,0.0500,"[]",superseded,2026-07-24T21:26:51.635Z,2026-07-24T21:26:51.580Z,a0000000-0000-0000-0000-000000000001,2026-07-28T18:24:56.802Z,,m2,,false,,,,,,,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
844964e3-cc8a-46c5-9efa-926a43605f21,1.2.1.1.2,Penggalian 1 m3 tanah biasa sedalam 0 s.d. 1 m untuk volume 200 m3 s.d 2.000 m3 secara manual,,52a95db5-8ea8-4579-a062-054341c337bb,national,Cipta Karya,1,0.0000,"[]",active,2026-07-26T19:45:29.768Z,2026-07-26T19:45:29.721Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:45:29.768Z,,m3,51ee768b-ade2-4a23-89c9-bdc6320f61d3,true,,,,,,,
f5697fcf-cbf2-45e7-9892-0ae8d02bf50b,3.6.1.1,"Pemasangan 1 m2 dinding bata merah tebal 1 batu dengan mortar tipe M,fc’ 17,2 MPa (Setara Campuran 1SP : 2PP)",,bb22e689-cdc8-4dd7-9a79-1443882fcd01,national,Cipta Karya,1,0.0000,"[]",active,2026-07-26T13:51:12.470Z,2026-07-26T13:51:12.268Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:12.470Z,,m2,51ee768b-ade2-4a23-89c9-bdc6320f61d3,true,,,,,,,
092f3cfb-ef6a-4cd8-96d8-6eab23f8745c,3.6.1.2,"Pemasangan 1 m2 dinding bata merah tebal 1 batu dengan mortar tipe S,fc’ 12,5 MPa (Setara Campuran 1SP : 3PP)",,bb22e689-cdc8-4dd7-9a79-1443882fcd01,national,Cipta Karya,1,0.0000,"[]",active,2026-07-26T13:51:12.700Z,2026-07-26T13:51:12.516Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:12.700Z,,m2,51ee768b-ade2-4a23-89c9-bdc6320f61d3,true,,,,,,,
40f4d85c-7a8f-46eb-9212-c601cb08912d,3.6.1.3,"Pemasangan 1 m2 dinding bata merah tebal 1 batu dengan mortar tipe N,fc’ 5,2 MPa (Setara Campuran 1SP : 4PP)",,bb22e689-cdc8-4dd7-9a79-1443882fcd01,national,Cipta Karya,1,0.0000,"[]",active,2026-07-26T13:51:12.965Z,2026-07-26T13:51:12.745Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:12.965Z,,m2,51ee768b-ade2-4a23-89c9-bdc6320f61d3,true,,,,,,,
a013430e-64c6-45af-a685-b4aa0bcbee07,3.6.1.4,"Pemasangan 1 m2 dinding bata merah tebal 1 batu dengan mortar tipe O,fc’ 2,4 MPa (Setara Campuran 1SP : 5PP)",,bb22e689-cdc8-4dd7-9a79-1443882fcd01,national,Cipta Karya,1,0.0000,"[]",active,2026-07-26T13:51:13.222Z,2026-07-26T13:51:13.038Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:13.222Z,,m2,51ee768b-ade2-4a23-89c9-bdc6320f61d3,true,,,,,,,
def71fb9-1916-434c-9a65-26047843484e,3.6.1.5,Pemasangan 1 m2 dinding bata merah tebal 1 batu campuran 1SP : 6PP,,bb22e689-cdc8-4dd7-9a79-1443882fcd01,national,Cipta Karya,1,0.0000,"[]",active,2026-07-26T13:51:13.451Z,2026-07-26T13:51:13.267Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:13.451Z,,m2,51ee768b-ade2-4a23-89c9-bdc6320f61d3,true,,,,,,,
c388e1d0-4291-4b00-941d-4ce78a2f8f86,3.6.1.6,"Pemasangan 1 m2 dinding bata merah tebal 1/2 batu dengan mortar tipe M,fc’ 17,2 MPa (Setara Campuran 1SP : 2PP)",,bb22e689-cdc8-4dd7-9a79-1443882fcd01,national,Cipta Karya,1,0.0000,"[]",active,2026-07-26T13:51:13.682Z,2026-07-26T13:51:13.496Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:13.682Z,,m2,51ee768b-ade2-4a23-89c9-bdc6320f61d3,true,,,,,,,
ff7c6fa5-626f-495f-a692-c98258e18c6a,3.6.1.7,"Pemasangan 1 m2 dinding bata merah tebal 1/2 batu dengan mortar tipe S,fc’ 12,5 MPa (Setara Campuran 1SP : 3PP)",,bb22e689-cdc8-4dd7-9a79-1443882fcd01,national,Cipta Karya,1,0.0000,"[]",active,2026-07-26T13:51:13.910Z,2026-07-26T13:51:13.726Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:13.910Z,,m2,51ee768b-ade2-4a23-89c9-bdc6320f61d3,true,,,,,,,
ea449a98-315b-4c3f-91bb-c93950ac863e,3.6.1.8,"Pemasangan 1 m2 dinding bata merah tebal 1/2 batu dengan mortar tipe N,fc’ 5,2 MPa (Setara Campuran 1SP : 4PP)",,bb22e689-cdc8-4dd7-9a79-1443882fcd01,national,Cipta Karya,1,0.0000,"[]",active,2026-07-26T13:51:14.145Z,2026-07-26T13:51:13.954Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:14.145Z,,m2,51ee768b-ade2-4a23-89c9-bdc6320f61d3,true,,,,,,,
