id,assembly_id,resource_id,coefficient,sort_order,notes,created_at,company_id
a5b63db3-33af-481c-9dbf-14acb0e34f45,a3663cd9-149b-4aff-b747-958b12050332,0e820874-e7d9-466f-ae5b-c1c30b6b394c,0.062500,0,,2026-07-26T19:46:10.398Z,
59c2e741-a469-4422-bf4a-4ab922f5fddf,a3663cd9-149b-4aff-b747-958b12050332,49b21278-4309-4ed3-a208-d2519c58a88f,0.031300,1,,2026-07-26T19:46:10.398Z,
47a89c1a-ddba-4027-b4bb-8f4db23d2062,a3663cd9-149b-4aff-b747-958b12050332,72b12b40-902e-4236-952c-849fce31f2e7,0.003100,2,,2026-07-26T19:46:10.398Z,
59b132be-f601-484f-8c1a-43965830039a,a3663cd9-149b-4aff-b747-958b12050332,2debabc9-ad43-4e45-88af-abff517c4319,0.001000,3,,2026-07-26T19:46:10.398Z,
43a2b8d5-179e-4cbd-ae4e-997b7b557056,a3663cd9-149b-4aff-b747-958b12050332,3bc99b0d-697c-4555-946a-170b1ad9b929,3.500000,4,,2026-07-26T19:46:10.398Z,
e5747ffb-6463-4314-9c0c-6d3656103830,a3663cd9-149b-4aff-b747-958b12050332,452ad5ef-cb96-4058-ac56-33beab54be12,1.704000,5,,2026-07-26T19:46:10.398Z,
4abd7eb2-cd50-4927-9d9e-86c3a75274ea,a3663cd9-149b-4aff-b747-958b12050332,2f17de73-4088-402d-8789-d3aef91e044f,0.188000,6,,2026-07-26T19:46:10.398Z,
0416054e-5385-499e-b234-36718cb12bb0,a3663cd9-149b-4aff-b747-958b12050332,ffdfdc0b-6ef5-4e7b-a554-3011ce0899ac,0.003000,7,,2026-07-26T19:46:10.398Z,
4de487d5-baec-43a7-aea8-3c991cc77947,70b22b76-6ad7-44d6-89aa-f73e9b82ddb6,0e820874-e7d9-466f-ae5b-c1c30b6b394c,0.153800,0,,2026-07-26T19:46:10.768Z,
2dec66c6-92fd-4799-92c8-e236ceb8831c,70b22b76-6ad7-44d6-89aa-f73e9b82ddb6,49b21278-4309-4ed3-a208-d2519c58a88f,0.076900,1,,2026-07-26T19:46:10.768Z,
ead3775d-f9c3-4c0a-91ca-db998cc0a343,70b22b76-6ad7-44d6-89aa-f73e9b82ddb6,72b12b40-902e-4236-952c-849fce31f2e7,0.007700,2,,2026-07-26T19:46:10.768Z,
8c334604-e834-496c-8a61-fdb96d729936,70b22b76-6ad7-44d6-89aa-f73e9b82ddb6,2debabc9-ad43-4e45-88af-abff517c4319,0.002600,3,,2026-07-26T19:46:10.768Z,
27bc0b90-56d1-4800-9653-893c50e7661b,70b22b76-6ad7-44d6-89aa-f73e9b82ddb6,76bd96f8-4fd3-4385-baf0-444370d8e731,6.563000,4,,2026-07-26T19:46:10.768Z,
d95511b3-12ef-4619-b592-9bdb488f2361,70b22b76-6ad7-44d6-89aa-f73e9b82ddb6,452ad5ef-cb96-4058-ac56-33beab54be12,13.632000,5,,2026-07-26T19:46:10.768Z,
54b1b05a-3ac0-4fdb-9d55-7ee0b7402d63,70b22b76-6ad7-44d6-89aa-f73e9b82ddb6,2f17de73-4088-402d-8789-d3aef91e044f,1.500000,6,,2026-07-26T19:46:10.768Z,
4ca9b60b-a7a5-4070-9576-4b87e9da6b1d,70b22b76-6ad7-44d6-89aa-f73e9b82ddb6,ffdfdc0b-6ef5-4e7b-a554-3011ce0899ac,0.027000,7,,2026-07-26T19:46:10.768Z,
b3b207c1-3fce-4859-b818-5687ff36da03,695d3720-3639-4fc3-bf5f-3e46bfd35e0b,0e820874-e7d9-466f-ae5b-c1c30b6b394c,0.250000,0,,2026-07-26T19:46:10.860Z,
1deb88d7-f95d-4480-89f2-74c96ac70a09,695d3720-3639-4fc3-bf5f-3e46bfd35e0b,49b21278-4309-4ed3-a208-d2519c58a88f,0.083300,1,,2026-07-26T19:46:10.860Z,
49f786fc-d237-4545-bcf7-e204580f972e,695d3720-3639-4fc3-bf5f-3e46bfd35e0b,72b12b40-902e-4236-952c-849fce31f2e7,0.008300,2,,2026-07-26T19:46:10.860Z,
b5ee7deb-c50e-47a4-96e0-b12863cfd9f8,695d3720-3639-4fc3-bf5f-3e46bfd35e0b,2debabc9-ad43-4e45-88af-abff517c4319,0.002800,3,,2026-07-26T19:46:10.860Z,
2c168be2-67f6-4208-905a-38f91b462f05,695d3720-3639-4fc3-bf5f-3e46bfd35e0b,da713ae6-e307-48cb-b51e-4784fd7c931d,2.917000,4,,2026-07-26T19:46:10.860Z,
4a50b9c4-6241-41ea-bde8-da580fb77392,695d3720-3639-4fc3-bf5f-3e46bfd35e0b,452ad5ef-cb96-4058-ac56-33beab54be12,13.632000,5,,2026-07-26T19:46:10.860Z,
0b20264e-e56d-44e2-be66-3bd45e96e5e3,695d3720-3639-4fc3-bf5f-3e46bfd35e0b,2f17de73-4088-402d-8789-d3aef91e044f,1.500000,6,,2026-07-26T19:46:10.860Z,
978e2e58-1117-427d-8d15-a0048ee9cdaa,695d3720-3639-4fc3-bf5f-3e46bfd35e0b,ffdfdc0b-6ef5-4e7b-a554-3011ce0899ac,0.027000,7,,2026-07-26T19:46:10.860Z,
0505827b-0406-425c-bd22-b3ae6e58b017,e52c423b-1342-49eb-9dd2-25faa42149be,0e820874-e7d9-466f-ae5b-c1c30b6b394c,0.062500,0,,2026-07-26T19:46:10.953Z,
34977770-ff48-40eb-bd9d-15edb93933af,e52c423b-1342-49eb-9dd2-25faa42149be,49b21278-4309-4ed3-a208-d2519c58a88f,0.031300,1,,2026-07-26T19:46:10.953Z,
427ebccc-e3de-456d-8dbc-0b349ff2b47a,e52c423b-1342-49eb-9dd2-25faa42149be,72b12b40-902e-4236-952c-849fce31f2e7,0.003100,2,,2026-07-26T19:46:10.953Z,
72b1a489-46aa-4572-b775-f02ad4a36b78,e52c423b-1342-49eb-9dd2-25faa42149be,2debabc9-ad43-4e45-88af-abff517c4319,0.001000,3,,2026-07-26T19:46:10.953Z,
b63fb7dc-3671-48ed-bda5-4e7a5360fd87,f5697fcf-cbf2-45e7-9892-0ae8d02bf50b,0e820874-e7d9-466f-ae5b-c1c30b6b394c,0.400000,0,,2026-07-26T13:51:12.303Z,
11778fd0-87a2-43f8-8154-1e407f5b9f8e,f5697fcf-cbf2-45e7-9892-0ae8d02bf50b,49b21278-4309-4ed3-a208-d2519c58a88f,0.200000,1,,2026-07-26T13:51:12.330Z,
286241b2-b306-4d86-a9a7-e04e2876999c,f5697fcf-cbf2-45e7-9892-0ae8d02bf50b,72b12b40-902e-4236-952c-849fce31f2e7,0.020000,2,,2026-07-26T13:51:12.354Z,
be5c5661-379c-4ac1-9c6e-7a0621021efd,f5697fcf-cbf2-45e7-9892-0ae8d02bf50b,2debabc9-ad43-4e45-88af-abff517c4319,0.006700,3,,2026-07-26T13:51:12.377Z,
521c5e7c-8def-4d47-9cad-b26412e20a8a,f5697fcf-cbf2-45e7-9892-0ae8d02bf50b,49b70194-1f93-4d37-9cc6-ea3dd1813268,143.810000,4,,2026-07-26T13:51:12.400Z,
0f787e8f-1cf2-4f5d-bf76-02c1838513c6,f5697fcf-cbf2-45e7-9892-0ae8d02bf50b,452ad5ef-cb96-4058-ac56-33beab54be12,43.500000,5,,2026-07-26T13:51:12.423Z,
0c1c827f-ee03-494f-aadd-aba60d7d10c2,f5697fcf-cbf2-45e7-9892-0ae8d02bf50b,ffdfdc0b-6ef5-4e7b-a554-3011ce0899ac,0.080000,6,,2026-07-26T13:51:12.447Z,
550811c9-d8d1-4b56-8cd9-42e835edc8b5,092f3cfb-ef6a-4cd8-96d8-6eab23f8745c,0e820874-e7d9-466f-ae5b-c1c30b6b394c,0.400000,0,,2026-07-26T13:51:12.539Z,
dbc9b2d5-d295-445d-ba67-89d259313897,092f3cfb-ef6a-4cd8-96d8-6eab23f8745c,49b21278-4309-4ed3-a208-d2519c58a88f,0.200000,1,,2026-07-26T13:51:12.562Z,
20819d64-1dcf-4b86-bd0a-6d46507491fc,092f3cfb-ef6a-4cd8-96d8-6eab23f8745c,72b12b40-902e-4236-952c-849fce31f2e7,0.020000,2,,2026-07-26T13:51:12.586Z,
3dd3ed10-1fc5-439a-a26f-7b95debdf491,092f3cfb-ef6a-4cd8-96d8-6eab23f8745c,2debabc9-ad43-4e45-88af-abff517c4319,0.006700,3,,2026-07-26T13:51:12.609Z,
f10bfb68-24f6-4794-9c8f-60206032382c,092f3cfb-ef6a-4cd8-96d8-6eab23f8745c,49b70194-1f93-4d37-9cc6-ea3dd1813268,143.810000,4,,2026-07-26T13:51:12.632Z,
ce5cf365-d869-40a5-b304-4ea1f6af7f8c,092f3cfb-ef6a-4cd8-96d8-6eab23f8745c,452ad5ef-cb96-4058-ac56-33beab54be12,32.950000,5,,2026-07-26T13:51:12.655Z,
9a5ec938-b3b7-4f83-963e-d1d9c54e88fd,092f3cfb-ef6a-4cd8-96d8-6eab23f8745c,ffdfdc0b-6ef5-4e7b-a554-3011ce0899ac,0.091000,6,,2026-07-26T13:51:12.678Z,
171bccee-ea6a-44c8-803f-b5c73484e6b9,40f4d85c-7a8f-46eb-9212-c601cb08912d,0e820874-e7d9-466f-ae5b-c1c30b6b394c,0.400000,0,,2026-07-26T13:51:12.768Z,
118cfab7-6b4c-4ab1-9176-f18023ef9a77,40f4d85c-7a8f-46eb-9212-c601cb08912d,49b21278-4309-4ed3-a208-d2519c58a88f,0.200000,1,,2026-07-26T13:51:12.791Z,
c3c14bd2-3477-4b43-bd37-cd22a041b79b,40f4d85c-7a8f-46eb-9212-c601cb08912d,72b12b40-902e-4236-952c-849fce31f2e7,0.020000,2,,2026-07-26T13:51:12.814Z,
25a9c488-cdad-4f98-bb79-fd06b0472d77,40f4d85c-7a8f-46eb-9212-c601cb08912d,2debabc9-ad43-4e45-88af-abff517c4319,0.006700,3,,2026-07-26T13:51:12.837Z,
02d85bd5-8651-469e-8342-c66d89f4745f,40f4d85c-7a8f-46eb-9212-c601cb08912d,49b70194-1f93-4d37-9cc6-ea3dd1813268,143.810000,4,,2026-07-26T13:51:12.859Z,
f093f58d-09fa-49c2-af20-80e3b4854c98,40f4d85c-7a8f-46eb-9212-c601cb08912d,452ad5ef-cb96-4058-ac56-33beab54be12,26.550000,5,,2026-07-26T13:51:12.883Z,
d66c12e9-6d70-4a10-baea-fc249260d10b,40f4d85c-7a8f-46eb-9212-c601cb08912d,ffdfdc0b-6ef5-4e7b-a554-3011ce0899ac,0.093000,6,,2026-07-26T13:51:12.906Z,
a0daa35e-8635-4d11-9f25-b8406576851f,a013430e-64c6-45af-a685-b4aa0bcbee07,0e820874-e7d9-466f-ae5b-c1c30b6b394c,0.400000,0,,2026-07-26T13:51:13.061Z,
1ca5bd28-30f1-4fdc-94c8-eebe0a5e907a,a013430e-64c6-45af-a685-b4aa0bcbee07,49b21278-4309-4ed3-a208-d2519c58a88f,0.200000,1,,2026-07-26T13:51:13.084Z,
8928f3ef-a822-4fea-9539-d9c153ccc4e9,a013430e-64c6-45af-a685-b4aa0bcbee07,72b12b40-902e-4236-952c-849fce31f2e7,0.020000,2,,2026-07-26T13:51:13.108Z,
598b8da1-2ac3-4228-8a1a-a2439e455c80,a013430e-64c6-45af-a685-b4aa0bcbee07,2debabc9-ad43-4e45-88af-abff517c4319,0.006700,3,,2026-07-26T13:51:13.131Z,
9d945534-cb43-44fb-82c1-fbe2d32f31ff,a013430e-64c6-45af-a685-b4aa0bcbee07,49b70194-1f93-4d37-9cc6-ea3dd1813268,143.810000,4,,2026-07-26T13:51:13.153Z,
19048ff5-b906-4bec-b12c-34b486d870a6,a013430e-64c6-45af-a685-b4aa0bcbee07,452ad5ef-cb96-4058-ac56-33beab54be12,22.200000,5,,2026-07-26T13:51:13.177Z,
f9029553-1fef-4be4-8784-69039e0e6535,a013430e-64c6-45af-a685-b4aa0bcbee07,ffdfdc0b-6ef5-4e7b-a554-3011ce0899ac,0.102000,6,,2026-07-26T13:51:13.199Z,
5be34c76-894f-4726-ac6e-0d94d9967341,def71fb9-1916-434c-9a65-26047843484e,0e820874-e7d9-466f-ae5b-c1c30b6b394c,0.400000,0,,2026-07-26T13:51:13.290Z,
f2379db1-7374-49e0-b921-353bd06fc8ca,def71fb9-1916-434c-9a65-26047843484e,49b21278-4309-4ed3-a208-d2519c58a88f,0.200000,1,,2026-07-26T13:51:13.313Z,
4c76bec0-ed51-42c6-8a25-cd511ed11c4d,def71fb9-1916-434c-9a65-26047843484e,72b12b40-902e-4236-952c-849fce31f2e7,0.020000,2,,2026-07-26T13:51:13.336Z,
fe8de2cd-2198-4f99-9310-652addd3f9fe,def71fb9-1916-434c-9a65-26047843484e,2debabc9-ad43-4e45-88af-abff517c4319,0.006700,3,,2026-07-26T13:51:13.359Z,
2b1638c3-28fd-47c9-ad8f-48df1dc2fedd,def71fb9-1916-434c-9a65-26047843484e,49b70194-1f93-4d37-9cc6-ea3dd1813268,143.810000,4,,2026-07-26T13:51:13.382Z,
20900504-8f5e-4a3a-b969-0356866623e7,def71fb9-1916-434c-9a65-26047843484e,452ad5ef-cb96-4058-ac56-33beab54be12,18.500000,5,,2026-07-26T13:51:13.405Z,
919cd3e3-7636-4235-a33e-4fd05f57c2b2,def71fb9-1916-434c-9a65-26047843484e,ffdfdc0b-6ef5-4e7b-a554-3011ce0899ac,0.122000,6,,2026-07-26T13:51:13.429Z,
6e7309b9-048b-48e8-8346-8acd9791109e,c388e1d0-4291-4b00-941d-4ce78a2f8f86,0e820874-e7d9-466f-ae5b-c1c30b6b394c,0.200000,0,,2026-07-26T13:51:13.519Z,
a4457a48-07b5-4665-95d1-c44adf29901d,c388e1d0-4291-4b00-941d-4ce78a2f8f86,49b21278-4309-4ed3-a208-d2519c58a88f,0.100000,1,,2026-07-26T13:51:13.543Z,
