id,lesson_id,target_type,resource_id,cost_code_id,proposed_value,currency,created_record_id,created_at
43e56d13-f0bb-4e60-9eaa-a083cf85142d,e13dcf26-3806-43c1-886b-20b9bcab2057,productivity,fcb0d33d-9cfd-4a26-a4d7-12e0ed0ddfcb,dc460eb5-bbc3-409e-896d-8846e0b3d243,0.4200,IDR,,2026-07-25T10:07:50.084Z
12fcfbf3-f867-405b-86c0-4fd002282f97,23a5b4dd-cb66-4631-9955-25840a8ecbb1,productivity,fcb0d33d-9cfd-4a26-a4d7-12e0ed0ddfcb,dc460eb5-bbc3-409e-896d-8846e0b3d243,0.4200,IDR,4d5b93b5-8a20-44df-becc-2aba3a7a8969,2026-07-25T10:07:58.828Z
20f71b3f-8c9f-4e96-a945-2e39c015555c,3c5a77f6-3adc-4ebf-96c2-62b07545386a,price_book,fcb0d33d-9cfd-4a26-a4d7-12e0ed0ddfcb,,175000.0000,IDR,9b843ee7-8909-4253-9cc2-e2bef6b78ed2,2026-07-25T10:07:59.573Z
3758efb3-08ad-4c15-ad9b-669647e6d034,7ba118d2-e470-4568-829a-eafa9fdd795c,productivity,fcb0d33d-9cfd-4a26-a4d7-12e0ed0ddfcb,dc460eb5-bbc3-409e-896d-8846e0b3d243,0.4200,IDR,,2026-07-25T10:08:00.250Z
d5c6a25d-ae3a-4cc9-a971-5fa8130c6dde,523a69b7-0600-4a8b-91b0-f8a6d7441c05,productivity,5b9c5662-70e9-471b-b234-3ff42e83520f,5d489f53-b3c9-4997-8b4e-ef9c23007aff,0.4200,IDR,,2026-07-25T10:08:09.439Z
0585fa64-ad19-438c-bf27-646d934aadb6,b2c9373f-f23b-4591-9eb2-88d869c6fa31,productivity,5b9c5662-70e9-471b-b234-3ff42e83520f,5d489f53-b3c9-4997-8b4e-ef9c23007aff,0.4200,IDR,31ab9d14-e1f4-46d8-a067-fab048dc8f5d,2026-07-25T10:08:10.006Z
8c16e943-1364-4a85-89e7-db748f1dad42,266e4476-42ba-41ba-814a-8a11b604d1cf,price_book,5b9c5662-70e9-471b-b234-3ff42e83520f,,175000.0000,IDR,845a4b4e-faae-4a7a-a5e7-524590338966,2026-07-25T10:08:10.790Z
20d887d0-410b-4b5c-aa50-a34bfa30ee90,2a054e3a-4287-48e9-b1d1-06cdb133a0e6,productivity,5b9c5662-70e9-471b-b234-3ff42e83520f,5d489f53-b3c9-4997-8b4e-ef9c23007aff,0.4200,IDR,,2026-07-25T10:08:11.426Z
8921246f-3cb0-444c-aa35-3aea1c1af2a7,d9e6e4a1-a22a-4919-9f35-7705c987ab9c,productivity,feb52a30-f536-475e-bd14-1798d9685640,9913a4bf-0d6e-4ee5-92e6-1d9b4f49ca43,0.4200,IDR,,2026-07-25T10:09:40.810Z
34fcf3a8-34be-43c0-993c-362e75d4d5aa,feb9a9d2-841d-4a38-8188-7280cf275fd2,productivity,feb52a30-f536-475e-bd14-1798d9685640,9913a4bf-0d6e-4ee5-92e6-1d9b4f49ca43,0.4200,IDR,8dbc3bd3-edc0-4508-afd9-ada969ffcdbe,2026-07-25T10:09:41.909Z
