id,code,name,description,category,status,deactivated_at,created_at,created_by,updated_at,updated_by,unit_code
21f2fd94-7ad1-4f33-a91c-ca463996f63d,AHSP-R0037,Dynabolt dia. 12 x 120 mm,,material,active,,2026-07-26T19:43:40.816Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:40.816Z,,buah
83b64917-e66f-4816-a3d6-78441b15891c,RBS-SMOKE-OFF,Tukang Uji,,labor,inactive,2026-07-24T19:43:39.655Z,2026-07-24T19:43:39.509Z,,2026-07-25T13:21:40.595Z,,unit
dac5390c-f4ef-4459-9a57-6a5adcafe886,RBS-PRICE-SMOKE,Smoke,,material,active,,2026-07-24T20:34:55.795Z,a0000000-0000-0000-0000-000000000001,2026-07-25T13:21:40.595Z,,unit
0dd775bd-b136-40c3-94c0-ef1ee3628e35,AHSP-R0038,Self Drilling Screw dia-6 x 20 mm (Main Truss Screw),,material,active,,2026-07-26T19:43:40.861Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:40.861Z,,buah
0e820874-e7d9-466f-ae5b-c1c30b6b394c,AHSP-PEKERJA,Pekerja,,labor,active,,2026-07-26T13:51:12.051Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:12.051Z,,OH
49b21278-4309-4ed3-a208-d2519c58a88f,AHSP-TUKANG-BATU,Tukang batu,,labor,active,,2026-07-26T13:51:12.098Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:12.098Z,,OH
72b12b40-902e-4236-952c-849fce31f2e7,AHSP-KEPALA-TUKANG,Kepala tukang,,labor,active,,2026-07-26T13:51:12.121Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:12.121Z,,OH
2debabc9-ad43-4e45-88af-abff517c4319,AHSP-MANDOR,Mandor,,labor,active,,2026-07-26T13:51:12.144Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:12.144Z,,OH
49b70194-1f93-4d37-9cc6-ea3dd1813268,AHSP-BATA-MERAH,Bata merah,,material,active,,2026-07-26T13:51:12.167Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:12.167Z,,buah
452ad5ef-cb96-4058-ac56-33beab54be12,AHSP-SEMEN-PC,Semen portland (PC),,material,active,,2026-07-26T13:51:12.190Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:12.190Z,,kg
ffdfdc0b-6ef5-4e7b-a554-3011ce0899ac,AHSP-PASIR-PASANG,Pasir pasang (quarry - lokasi pekerjaan),,material,active,,2026-07-26T13:51:12.215Z,a0000000-0000-0000-0000-000000000001,2026-07-26T13:51:12.215Z,,m3
841d4276-f231-44b9-925d-e4d2c4d6dcf6,AHSP-R0003,Jack hammer + genset,,equipment,active,,2026-07-26T19:43:39.326Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:39.326Z,,hari
514c5bf9-7879-4df4-82a0-c54532d64941,AHSP-R0004,Pompa Sedot Pasir,,equipment,active,,2026-07-26T19:43:39.378Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:39.378Z,,hari
4db618a2-9ed1-41f0-88fa-e0f1b3aafec1,AHSP-R0005,Pompa Lumpur,,equipment,active,,2026-07-26T19:43:39.423Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:39.423Z,,hari
329235eb-3584-450e-8eb7-cce51d09d8e4,AHSP-R0006,Pasir urug (quarry - lokasi pekerjaan),,material,active,,2026-07-26T19:43:39.468Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:39.468Z,,m3
177399b9-361d-448f-8934-d870980fb807,AHSP-R0007,Tanah biasa (quarry - lokasi pekerjaan),,material,active,,2026-07-26T19:43:39.514Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:39.514Z,,m3
1e0cba22-9df4-40ff-89e5-a2b01f35d43a,AHSP-R0008,Tanah liat (quarry-lokasi pekerjaan),,material,active,,2026-07-26T19:43:39.559Z,a0000000-0000-0000-0000-000000000001,2026-07-26T19:43:39.559Z,,m3
