id,entity_type,entity_id,level,approved_by,approved_at,note,company_id
01d3c56f-965b-40d8-b1ce-b0f5abdf848b,estimate_version,43f81302-429a-4e74-8350-5b334323f66e,1,a0000000-0000-0000-0000-000000000001,2026-07-25T15:34:48.898Z,,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
69087130-ce45-479b-8578-95cf267d4c6c,estimate_version,2510bd2c-d11c-45fc-95e6-e9867eff3caa,1,a0000000-0000-0000-0000-000000000001,2026-07-25T15:34:59.067Z,,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
f442e58f-e11d-40d9-bb41-8e51097ed69f,estimate_version,2510bd2c-d11c-45fc-95e6-e9867eff3caa,2,a0000000-0000-0000-0000-000000000001,2026-07-25T15:35:01.592Z,,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
21f53770-d731-4c67-a779-1b6645e3cc0a,change_order,fb805f40-706a-4430-a0eb-3662efe8d44d,1,a0000000-0000-0000-0000-000000000001,2026-07-24T13:42:54.486Z,,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
7b8a23f0-03b4-4fe9-b8f3-633cc1279914,lessons_learned,b1b74b07-82f3-4545-9ee2-431f6cf1054f,1,a0000000-0000-0000-0000-000000000001,2026-07-25T15:36:14.141Z,,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
2834421c-2ee0-4001-986a-bf5921274242,estimate_version,db05564b-a806-432e-8df1-e7cf4372c432,1,a0000000-0000-0000-0000-000000000001,2026-07-25T15:58:26.295Z,,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
80572681-7e1a-4edf-a9c9-9186f5e2a920,estimate_version,ecb745b3-d7fb-4461-9081-046add058415,1,a0000000-0000-0000-0000-000000000001,2026-07-25T15:58:40.324Z,,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
b429f44f-596b-4abb-b19a-44ff28a1a1d6,estimate_version,ecb745b3-d7fb-4461-9081-046add058415,2,a0000000-0000-0000-0000-000000000001,2026-07-25T15:58:44.426Z,,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
f12e90fd-dd44-45e2-bbfe-1d3111d1861c,lessons_learned,d1eb8b11-d18c-4af3-a9cf-0704cb0844b2,1,a0000000-0000-0000-0000-000000000001,2026-07-25T16:00:09.959Z,,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
28ccbe89-a4fb-474d-96c8-0c4d9b1e2fb8,estimate_version,6ba87918-bfc2-4710-8e31-78921869c270,1,a0000000-0000-0000-0000-000000000001,2026-07-25T16:04:21.967Z,,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
b6c20cc5-1980-4cba-8bbd-4844d031348f,estimate_version,4fefd86b-c88f-496a-97c8-054147fde4d8,1,a0000000-0000-0000-0000-000000000001,2026-07-25T16:04:33.762Z,,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
10d8fc8d-6833-4b57-bc0c-2f51a4a1397c,estimate_version,4fefd86b-c88f-496a-97c8-054147fde4d8,2,a0000000-0000-0000-0000-000000000001,2026-07-25T16:04:36.850Z,,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
ba0baf8d-e147-4e95-82de-3c159c7cbebd,change_order,a7eee676-9c52-4a2b-a1f4-3d68b1397a91,1,a0000000-0000-0000-0000-000000000001,2026-07-25T16:06:44.427Z,,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
