id,user_id,project_id,title,message,channel,is_read,read_at,action_url,sent_at,created_at,type,action_type,action_data,is_actioned,actioned_at,priority,company_id
6e010000-0000-0000-0000-000000000003,a0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000001,Kasbon Baru,Pak Slamet mengajukan kasbon Rp 9.000.000 untuk upah tukang Juni,push,false,,,2026-06-01T00:30:00.000Z,2026-06-13T16:41:44.391Z,,,,false,,normal,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
6e010000-0000-0000-0000-000000000004,a0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000003,Milestone Hampir Jatuh Tempo,Milestone instalasi sanitasi KM jatuh tempo 10 Juni 2026,push,false,,,2026-06-05T01:00:00.000Z,2026-06-13T16:41:44.391Z,,,,false,,normal,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
6e010000-0000-0000-0000-000000000005,a0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000006,Invoice Baru Terkirim,Invoice INV/PRL/2026/011 Rp 165.750.000 dikirim ke Bu Ratna,push,true,,,2026-04-01T03:00:00.000Z,2026-06-13T16:41:44.391Z,,,,false,,normal,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
6e010000-0000-0000-0000-000000000006,a0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000011,Laporan Upah Baru,Pak Wahyu submit laporan upah rangka baja minggu 2 Juni,push,false,,,2026-06-10T02:00:00.000Z,2026-06-13T16:41:44.391Z,,,,false,,normal,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
6e010000-0000-0000-0000-000000000007,a0000000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000001,Progress Update,Progres proyek Pak Andi mencapai 65%,push,true,,,2026-06-01T02:00:00.000Z,2026-06-13T16:41:44.391Z,,,,false,,normal,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
6e010000-0000-0000-0000-000000000002,a0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000009,Invoice Overdue,Invoice INV/PRL/2026/013 senilai Rp 107.100.000 sudah melewati jatuh tempo,push,true,2026-06-14T13:42:48.306Z,,2026-03-15T01:00:00.000Z,2026-06-13T16:41:44.391Z,,,,false,,normal,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
6e010000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000001,Invoice Jatuh Tempo,Invoice INV/PRL/2026/006 senilai Rp 72.675.000 belum dibayar,push,true,2026-06-14T13:43:04.428Z,,2026-05-10T01:00:00.000Z,2026-06-13T16:41:44.391Z,,,,false,,normal,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
72f5daf0-b736-4d0d-a4b3-3dd4e8f705f9,a0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000005,Laporan Upah Diajukan,Laporan upah minggu 2026-06-14 – 2026-06-20 diajukan oleh Pak Hendra Wijaya,push,false,,/mandor?tab=laporan,2026-06-14T19:23:26.463Z,2026-06-14T19:23:26.859Z,wage_report_submitted,approve_wage_report,"{""report_id"":""12ce5896-cdb3-492d-8a16-a7fca968b7bd""}",false,,normal,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
0c4f6328-9ca3-4381-a06c-f17139313915,a0000000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000005,Laporan Upah Diajukan,Laporan upah minggu 2026-06-14 – 2026-06-20 diajukan oleh Pak Hendra Wijaya,push,false,,/mandor?tab=laporan,2026-06-14T19:23:26.463Z,2026-06-14T19:23:26.859Z,wage_report_submitted,approve_wage_report,"{""report_id"":""12ce5896-cdb3-492d-8a16-a7fca968b7bd""}",false,,normal,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
6e010000-0000-0000-0000-000000000008,a0000000-0000-0000-0000-000000000008,c0000000-0000-0000-0000-000000000001,Update Progress Proyek,Renovasi rumah Anda sudah 65%. Cek detail di portal klien.,push,true,2026-06-14T23:34:50.019Z,,2026-06-01T02:30:00.000Z,2026-06-13T16:41:44.391Z,,,,false,,normal,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
