id,project_id,name,purpose,status,created_at,created_by,updated_at,updated_by
69249f77-6aed-464d-8592-d961086a1535,10334980-8d4e-4be5-998a-a09feafad4bb,[TEST] Skenario,,active,2026-07-25T07:55:18.930Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:55:18.930Z,
bd410d93-c0e4-417b-b2ee-f816a97e594d,f74fc9a8-1f82-4766-8800-2fba8b699bc0,[TEST] Skenario,,active,2026-07-25T07:56:09.447Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:56:09.447Z,
2fb12254-f10e-4cf6-bb0a-2f9bd0a63236,cfee23f1-8f5a-4039-afd8-990685ce960c,[TEST] Skenario,,active,2026-07-25T07:57:20.921Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:57:20.921Z,
2d42780d-6f97-4078-9099-5e4dab89c5c4,d0b18129-c9d2-4dfc-b884-19abebf6341c,[TEST] Skenario,,active,2026-07-25T07:58:52.548Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:58:52.548Z,
4112941d-39e3-438c-a2e1-31170035c9b4,b334bde0-3fa2-4c32-89e8-5d3a72fd2aa8,[TEST] Skenario,,active,2026-07-25T07:59:07.289Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:59:07.289Z,
dda4a456-847b-482f-a8df-fae31429d350,427737fd-2d06-48a6-a9f7-7cc6610641a6,[TEST] Skenario,,active,2026-07-25T07:59:13.217Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:59:13.217Z,
7ce62975-3c97-487c-9af5-f71fcf021c03,ca0bb2c4-2c7b-46b0-9a77-96f09c1ba46b,[TEST] Skenario,,active,2026-07-25T07:59:36.939Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:59:36.939Z,
cc559d80-a5f7-4e94-ba12-c36db816f850,d892dd80-fb7b-4510-ab32-91ea0dd3350b,[TEST] Skenario,,active,2026-07-25T08:03:30.570Z,a0000000-0000-0000-0000-000000000001,2026-07-25T08:03:30.570Z,
29575485-93ad-467e-9c25-ef05244b5633,8700d503-bf36-4fe5-b2cf-38a87d7940dd,[TEST] Skenario,,active,2026-07-25T08:11:14.902Z,a0000000-0000-0000-0000-000000000001,2026-07-25T08:11:14.902Z,
f01aba6f-f000-42ec-9a4e-4935fc1aaee9,f8ce8966-f83a-4be9-8901-7783e923b912,[TEST] Skenario,,active,2026-07-25T08:53:20.051Z,a0000000-0000-0000-0000-000000000001,2026-07-25T08:53:20.051Z,
ac986206-a21c-47c2-b0e4-5b554046c20e,c37474c0-cd04-44e8-b587-eb6c3f6c54bb,[TEST] Skenario,,active,2026-07-25T08:53:37.115Z,a0000000-0000-0000-0000-000000000001,2026-07-25T08:53:37.115Z,
fca9cf9d-a515-49c7-8b9a-9653a36a87ad,a4747201-b988-4fc3-ae53-35834b7328fd,[TEST] Skenario,,active,2026-07-25T08:56:49.138Z,a0000000-0000-0000-0000-000000000001,2026-07-25T08:56:49.138Z,
5e8e5f31-b47f-47b8-b419-acb37e55e2b1,e096721a-c329-46a9-8fe8-8a8d1545078b,[TEST] Skenario,,active,2026-07-25T09:06:23.532Z,a0000000-0000-0000-0000-000000000001,2026-07-25T09:06:23.532Z,
039885df-c701-4427-9713-b7925de01398,b36e5431-6ede-4b8f-929b-a5e4208e7981,[TEST] Skenario,,active,2026-07-25T09:08:18.035Z,a0000000-0000-0000-0000-000000000001,2026-07-25T09:08:18.035Z,
2a410a81-f1bb-4c94-9096-6e99d3e750b5,275cd754-25a8-43b6-8c50-81df680f1e7f,[TEST] Skenario,,active,2026-07-25T09:08:28.471Z,a0000000-0000-0000-0000-000000000001,2026-07-25T09:08:28.471Z,
3042f0c7-3014-4beb-8fe6-e998b3e940f0,2d071372-01df-4b1e-b55c-cc0d4351a3f0,[TEST] Skenario,,active,2026-07-25T09:11:27.983Z,a0000000-0000-0000-0000-000000000001,2026-07-25T09:11:27.983Z,
5711ac1c-b184-4c38-969f-0cdf60f6fb92,6e0bfdf3-1010-4432-ad57-d24097116e0c,[TEST] Skenario,,active,2026-07-25T09:20:21.610Z,a0000000-0000-0000-0000-000000000001,2026-07-25T09:20:21.610Z,
af2fc69b-380f-450d-bb99-19e217e585e6,768fc16e-eed4-46cd-8913-0740231d8b08,[TEST] Skenario,,active,2026-07-25T09:22:10.117Z,a0000000-0000-0000-0000-000000000001,2026-07-25T09:22:10.117Z,
d660432b-56da-414c-addf-acc97131eda2,e76e8840-c0f5-4200-a13a-3a26d4fa7033,[TEST] Skenario,,active,2026-07-25T09:25:08.549Z,a0000000-0000-0000-0000-000000000001,2026-07-25T09:25:08.549Z,
be45cdea-d9f6-49b8-8c0f-3095ad0996c3,eb10b4b3-5316-46e2-b921-88abc5727ce2,[TEST] Skenario,,active,2026-07-25T09:33:31.201Z,a0000000-0000-0000-0000-000000000001,2026-07-25T09:33:31.201Z,
1c58ef18-afea-4554-8bcd-f70f44a82b5a,fccfdabb-4d55-49db-a149-8753c37ffdc6,[TEST] Skenario,,active,2026-07-25T09:36:48.571Z,a0000000-0000-0000-0000-000000000001,2026-07-25T09:36:48.571Z,
cfca8de9-7f8a-4eca-92cc-194b3cb7719e,17972089-4a3b-4a33-8f90-50d632e0c4e2,[TEST] Skenario,,active,2026-07-25T09:39:45.674Z,a0000000-0000-0000-0000-000000000001,2026-07-25T09:39:45.674Z,
429164fd-fa7d-4c14-ae46-d41dd338e99d,bf1172d2-5da9-41d6-a420-9f9d41b5c5eb,[TEST] Skenario,,active,2026-07-25T09:49:19.073Z,a0000000-0000-0000-0000-000000000001,2026-07-25T09:49:19.073Z,
ca72748c-9ece-47d0-92d1-fcfd8924aaf8,34db5933-1279-4c93-b27f-1cdec9b7eb5d,[TEST] Skenario,,active,2026-07-25T10:11:40.347Z,a0000000-0000-0000-0000-000000000001,2026-07-25T10:11:40.347Z,
d2ee35c0-0b56-4004-be77-fc8f49987f89,859a2f62-4ed1-4f1c-9338-6205261fcd02,[TEST] Skenario,,active,2026-07-25T10:14:40.267Z,a0000000-0000-0000-0000-000000000001,2026-07-25T10:14:40.267Z,
8694305e-e55b-4c3d-954a-da4b1200a670,f0faf971-d464-4242-ba40-3ebe736716fb,[TEST] Skenario,,active,2026-07-25T10:24:41.494Z,a0000000-0000-0000-0000-000000000001,2026-07-25T10:24:41.494Z,
dd29f0f6-8caa-4195-a6d4-5ad68a0cd5a7,0e0b143b-02f5-4142-acd6-b82bce200461,[TEST] Skenario,,active,2026-07-25T13:28:39.557Z,a0000000-0000-0000-0000-000000000001,2026-07-25T13:28:39.557Z,
