id,resource_id,amount,currency,version_number,effective_date,expired_date,location,supplier,confidence_level,status,verified_by,verified_at,created_at,created_by,updated_at,updated_by,company_id
0f47777a-4c55-4c0b-aa01-17d3cddf3dd0,2148f96d-402c-4c06-9481-905516054230,1000000.00,IDR,1,2025-12-31T17:00:00.000Z,,,,medium,active,a0000000-0000-0000-0000-000000000001,2026-07-29T14:41:13.338Z,2026-07-29T14:41:13.338Z,a0000000-0000-0000-0000-000000000001,2026-07-29T14:41:13.338Z,,
582337ae-518e-469b-ac4b-3ad43673267b,9562d9a4-9119-4ae3-a3c0-4f32576dbb82,25000.00,IDR,1,2019-12-31T17:00:00.000Z,,,,,active,a0000000-0000-0000-0000-000000000001,2026-07-28T20:02:21.234Z,2026-07-28T20:02:21.234Z,a0000000-0000-0000-0000-000000000001,2026-07-28T20:02:21.234Z,,
bb2ea9d7-e212-4ce8-8a6a-4eddfb583dbf,434dc048-1722-46ce-93e1-74be748d2cc5,25000.00,IDR,1,2019-12-31T17:00:00.000Z,,,,,active,a0000000-0000-0000-0000-000000000001,2026-07-28T20:41:31.541Z,2026-07-28T20:41:31.541Z,a0000000-0000-0000-0000-000000000001,2026-07-28T20:41:31.541Z,,
8b35e3fa-3265-47cd-be45-9c07fc8e4bad,dac5390c-f4ef-4459-9a57-6a5adcafe886,50000.00,IDR,1,2025-12-31T17:00:00.000Z,,,,high,expired,a0000000-0000-0000-0000-000000000001,2026-07-24T20:34:55.855Z,2026-07-24T20:34:55.826Z,a0000000-0000-0000-0000-000000000001,2026-07-24T20:34:55.944Z,,
a57265fb-c4af-4951-bd30-faae100df78c,a99eaf54-f1bd-4540-bb7d-ce799b1498d8,25000.00,IDR,1,2019-12-31T17:00:00.000Z,,,,,active,a0000000-0000-0000-0000-000000000001,2026-07-28T21:05:49.279Z,2026-07-28T21:05:49.279Z,a0000000-0000-0000-0000-000000000001,2026-07-28T21:05:49.279Z,,
c219c42d-750c-49d2-9e16-a480ab07157e,24eb143a-09f9-4f06-9104-6ac00280ff4f,25000.00,IDR,1,2019-12-31T17:00:00.000Z,,,,,active,a0000000-0000-0000-0000-000000000001,2026-07-28T21:27:38.278Z,2026-07-28T21:27:38.278Z,a0000000-0000-0000-0000-000000000001,2026-07-28T21:27:38.278Z,,
0cc0c561-7f37-459f-a1ff-d3dac6869165,0a45b796-6bb1-42ef-9139-fd896b53bf55,25000.00,IDR,1,2019-12-31T17:00:00.000Z,,,,,active,a0000000-0000-0000-0000-000000000001,2026-07-29T03:27:52.047Z,2026-07-29T03:27:52.047Z,a0000000-0000-0000-0000-000000000001,2026-07-29T03:27:52.047Z,,
c2b60fc5-ee07-4d8a-b279-8c789c4b615d,e64da389-dcdc-4a7d-a808-39d5cba5d45e,25000.00,IDR,1,2019-12-31T17:00:00.000Z,,,,,active,a0000000-0000-0000-0000-000000000001,2026-07-29T04:03:09.349Z,2026-07-29T04:03:09.349Z,a0000000-0000-0000-0000-000000000001,2026-07-29T04:03:09.349Z,,
996d432b-0609-457b-9d85-cc3f57086866,b81d023e-cda8-463c-8b25-00bea6a50659,25000.00,IDR,1,2019-12-31T17:00:00.000Z,,,,,active,a0000000-0000-0000-0000-000000000001,2026-07-29T04:39:58.333Z,2026-07-29T04:39:58.333Z,a0000000-0000-0000-0000-000000000001,2026-07-29T04:39:58.333Z,,
ddb68426-b078-46ac-9ca5-13f77fb2396c,218bc451-7c56-49ff-a5be-2f1e9e006b8a,25000.00,IDR,1,2019-12-31T17:00:00.000Z,,,,,active,a0000000-0000-0000-0000-000000000001,2026-07-29T03:51:14.291Z,2026-07-29T03:51:14.291Z,a0000000-0000-0000-0000-000000000001,2026-07-29T03:51:14.291Z,,
66f4cfff-d775-41b1-b632-6c37801d34a2,9e1d2df7-38a1-434f-810e-1968f1fc2a20,25000.00,IDR,1,2019-12-31T17:00:00.000Z,,,,,active,a0000000-0000-0000-0000-000000000001,2026-07-29T05:08:28.104Z,2026-07-29T05:08:28.104Z,a0000000-0000-0000-0000-000000000001,2026-07-29T05:08:28.104Z,,
59478a1b-1d84-4049-b7c5-1280e028bf22,6097722d-aeb4-45c1-bb15-1c38dc9e5ae9,25000.00,IDR,1,2019-12-31T17:00:00.000Z,,,,,active,a0000000-0000-0000-0000-000000000001,2026-07-28T20:08:22.995Z,2026-07-28T20:08:22.995Z,a0000000-0000-0000-0000-000000000001,2026-07-28T20:08:22.995Z,,
b73af354-8cde-45d7-af94-ae3d8b0902a3,79406879-25cb-40cf-b9cf-6f68de8ec754,25000.00,IDR,1,2019-12-31T17:00:00.000Z,,,,,active,a0000000-0000-0000-0000-000000000001,2026-07-28T19:27:31.203Z,2026-07-28T19:27:31.203Z,a0000000-0000-0000-0000-000000000001,2026-07-28T19:27:31.203Z,,
33618359-5bc4-440f-991a-3a37131e6281,a955db35-5775-48a3-a15a-282411969f39,25000.00,IDR,1,2019-12-31T17:00:00.000Z,,,,,active,a0000000-0000-0000-0000-000000000001,2026-07-29T11:28:08.656Z,2026-07-29T11:28:08.656Z,a0000000-0000-0000-0000-000000000001,2026-07-29T11:28:08.656Z,,
19497488-fd4b-432b-80af-60287b272bc5,dee8ab2b-5705-4e24-a1d0-2b7fc9ab6471,25000.00,IDR,1,2019-12-31T17:00:00.000Z,,,,,active,a0000000-0000-0000-0000-000000000001,2026-07-28T20:45:31.985Z,2026-07-28T20:45:31.985Z,a0000000-0000-0000-0000-000000000001,2026-07-28T20:45:31.985Z,,
