id,company_id,user_id,role_id,is_default,is_active,created_at,created_by
ba2ba4e0-a999-44dc-a90d-b93b0d15aae7,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,a0000000-0000-0000-0000-000000000003,acd484ff-a447-4602-b407-96bdd37a0847,true,true,2026-07-28T17:14:18.596Z,a0000000-0000-0000-0000-000000000001
4d8e5c6a-943c-436d-a402-53751f3c692b,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,a0000000-0000-0000-0000-000000000005,99c063b8-3d39-4768-ba73-42ba08a5a7e5,true,true,2026-07-28T17:14:18.596Z,a0000000-0000-0000-0000-000000000001
6b3d956c-5d53-4467-a217-c3a083757a3c,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,a0000000-0000-0000-0000-000000000007,99c063b8-3d39-4768-ba73-42ba08a5a7e5,true,true,2026-07-28T17:14:18.596Z,a0000000-0000-0000-0000-000000000001
8af2db77-71d9-4a8e-b1a3-83a9224114ec,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,a0000000-0000-0000-0000-000000000009,22f079e7-8ac2-4a05-82f8-8ccfb272d417,true,true,2026-07-28T17:14:18.596Z,a0000000-0000-0000-0000-000000000001
453229d2-d395-4705-a230-cd9230b584cc,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,a0000000-0000-0000-0000-000000000010,22f079e7-8ac2-4a05-82f8-8ccfb272d417,true,true,2026-07-28T17:14:18.596Z,a0000000-0000-0000-0000-000000000001
6ad8b1ba-fa26-459a-9e6c-897973c181d5,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,a0000000-0000-0000-0000-000000000011,22f079e7-8ac2-4a05-82f8-8ccfb272d417,true,true,2026-07-28T17:14:18.596Z,a0000000-0000-0000-0000-000000000001
6a7b94f5-daf6-443b-8dde-a6dbbd3cdddb,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,a0000000-0000-0000-0000-000000000012,22f079e7-8ac2-4a05-82f8-8ccfb272d417,true,true,2026-07-28T17:14:18.596Z,a0000000-0000-0000-0000-000000000001
5b4f3921-3c11-4f6b-a5a7-b1c2e647c340,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,3b09dd81-deca-4b58-956a-c1392f3a9445,22f079e7-8ac2-4a05-82f8-8ccfb272d417,true,false,2026-07-28T17:14:18.596Z,a0000000-0000-0000-0000-000000000001
ac0b3a86-bb45-4b25-8295-6a8942e70e6d,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,a0000000-0000-0000-0000-000000000013,99c063b8-3d39-4768-ba73-42ba08a5a7e5,true,true,2026-07-28T17:14:18.596Z,a0000000-0000-0000-0000-000000000001
4aff7b61-2e5e-4af8-9df7-68c2c95f08a3,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,a0000000-0000-0000-0000-000000000014,99c063b8-3d39-4768-ba73-42ba08a5a7e5,true,true,2026-07-28T17:14:18.596Z,a0000000-0000-0000-0000-000000000001
afb1255e-3b40-45a1-be58-0f5a2db39994,48befb54-113d-4e1b-b4dd-91cf79d6d8a0,a0000000-0000-0000-0000-000000000015,acd484ff-a447-4602-b407-96bdd37a0847,true,true,2026-07-28T17:14:18.596Z,a0000000-0000-0000-0000-000000000001
