id,scenario_id,version_number,total_amount,status,approved_by,approved_at,frozen_at,created_at,created_by,updated_at,updated_by,edition_id
e27e1c7e-45ed-44f7-8c55-6d8868635b36,7ce62975-3c97-487c-9af5-f71fcf021c03,2,0.00,draft,,,,2026-07-25T07:59:37.497Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:59:37.497Z,,
22dfae31-2f1f-47a7-88e4-c526783cb6b4,69249f77-6aed-464d-8592-d961086a1535,1,5000000.00,under_review,,,,2026-07-25T07:55:18.988Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:55:20.119Z,a0000000-0000-0000-0000-000000000001,
75ed3596-b366-4888-975c-68c1dc96a577,69249f77-6aed-464d-8592-d961086a1535,2,0.00,draft,,,,2026-07-25T07:55:20.173Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:55:20.173Z,,
9761f6c2-8aa1-4dc7-b7ea-cee17cf6b1ea,69249f77-6aed-464d-8592-d961086a1535,3,5000000.00,approved,a0000000-0000-0000-0000-000000000001,2026-07-25T07:55:21.562Z,,2026-07-25T07:55:20.521Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:55:21.562Z,a0000000-0000-0000-0000-000000000001,
0c6b7fc2-56d5-4717-8948-6e7291483c6e,7ce62975-3c97-487c-9af5-f71fcf021c03,3,5000000.00,approved,a0000000-0000-0000-0000-000000000001,2026-07-25T07:59:38.764Z,,2026-07-25T07:59:37.843Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:59:38.764Z,a0000000-0000-0000-0000-000000000001,
9ff5162d-092b-4c45-97c2-f1962d29d09d,69249f77-6aed-464d-8592-d961086a1535,4,5000000.00,under_review,,,,2026-07-25T07:55:21.610Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:55:21.852Z,a0000000-0000-0000-0000-000000000001,
9c9ca271-0f39-4748-8277-ae705e8955eb,69249f77-6aed-464d-8592-d961086a1535,5,5000000.00,draft,,,,2026-07-25T07:55:22.265Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:55:22.265Z,,
a7677de6-fea6-45df-9c26-9217bcab0b6a,7ce62975-3c97-487c-9af5-f71fcf021c03,4,5000000.00,under_review,,,,2026-07-25T07:59:38.813Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:59:39.056Z,a0000000-0000-0000-0000-000000000001,
6af8bdf8-6519-48aa-8b36-1cc85a39fab8,69249f77-6aed-464d-8592-d961086a1535,6,5000000.00,draft,,,,2026-07-25T07:55:22.480Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:55:22.961Z,a0000000-0000-0000-0000-000000000001,
a3829913-9d07-4664-b17f-f090d28fbdf5,7ce62975-3c97-487c-9af5-f71fcf021c03,5,5000000.00,draft,,,,2026-07-25T07:59:39.286Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:59:39.286Z,,
83a33289-b72a-4330-9b04-8e7ddcad47d7,69249f77-6aed-464d-8592-d961086a1535,7,5000000.00,draft,,,,2026-07-25T07:55:23.032Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:55:23.547Z,a0000000-0000-0000-0000-000000000001,
c112610f-30de-4833-bfb8-af4a4d155800,bd410d93-c0e4-417b-b2ee-f816a97e594d,1,5000000.00,under_review,,,,2026-07-25T07:56:09.491Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:56:10.014Z,a0000000-0000-0000-0000-000000000001,
85460eb3-27bb-4e7c-86ca-dda56af36ab1,bd410d93-c0e4-417b-b2ee-f816a97e594d,2,0.00,draft,,,,2026-07-25T07:56:10.068Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:56:10.068Z,,
c4411760-a863-49cf-9705-cac1f3972416,7ce62975-3c97-487c-9af5-f71fcf021c03,6,5000000.00,approved,a0000000-0000-0000-0000-000000000001,2026-07-25T07:59:40.540Z,,2026-07-25T07:59:39.555Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:59:40.540Z,a0000000-0000-0000-0000-000000000001,
e085b2c2-146a-4b1f-aa2f-d812dadd22c3,bd410d93-c0e4-417b-b2ee-f816a97e594d,3,5000000.00,approved,a0000000-0000-0000-0000-000000000001,2026-07-25T07:56:11.432Z,,2026-07-25T07:56:10.417Z,a0000000-0000-0000-0000-000000000001,2026-07-25T07:56:11.432Z,a0000000-0000-0000-0000-000000000001,
